Liberty-Benton|7|Ottawa-Glandorf|52
Liberty Union|12|Monroe Central|33
Licking Heights|12|Newark|16
Linden McKinley|20|Bexley|0
Logan Elm|27|Zane Trace|46
Lorain|28|Maple Heights|48
Loudonville|41|Mapleton|14
Lutheran West|13|Elyria Catholic|47
Madeira|47|Shroder|8
Madison|13|Preble Shawnee|20
Madison Comprehensive|0|Shelby|54
Madison-Plains|39|Westfall|6
Manchester|0|Fayetteville|36
Mansfield Senior|6|Hilliard Davidson|30
Mariemont|33|Clermont Northeastern|0
Marietta|32|Morgan|35
Marlington|31|Warrensville Heights|6
Martins Ferry|42|Mount Gilead|19
Marysville|9|Westerville North|31
Mason|0|Springboro|33
Maumee|14|Springfield|20
Maysville|13|Zanesville|30
McClain|37|Adena|8
Niles McKinley|12|Howland|26
Meadowbrook|22|Tri-Valley|56
Medina|7|Findlay|27
Miami East|48|Dayton Christian|13
Miami Valley Christian Academy|40|East Clinton|0
Middletown|3|Elder|35
Millersport|14|Sciotoville Community|0
Milton-Union|12|Carlisle|43
Mineral Ridge|42|Pymatuning Valley|7
Minford|20|Rock Hill|49
Minster|27|Fort Loramie|17
Mississinawa Valley|0|Waynesfield-Goshen|32
Mohawk|20|Margaretta|30
Monroe|39|Loveland|6
Monroeville|14|McComb|48
Mount Vernon|17|Marion Harding|21
New Albany|17|London|14
Newcomerstown|32|Crooksville|20
New Lexington|33|Fairfield Union|14
New London|7|Woodmore|61
New Miami|0|Dixie|28
New Philadelphia|10|Louisville|20
Newton Falls|56|Wellsville|13
Nordonia|49|St Vincent-St Mary|7
North|12|Champion|39
North|51|North Olmsted|17
North Baltimore|44|Bucyrus|12
Northeastern|0|Urbana|49
Northland|6|Columbus Academy|36
Northmont|17|Lebanon|38
North Ridgeville|14|Lake|20
Northwestern|54|Crestview|14
Norwayne|21|Keystone|36
Notre Dame-Cathedral Latin|42|Struthers|16
Olentangy Liberty|12|St Edward|15
Olmsted Falls|17|Mentor|38
Orrville|14|Wooster|7
Olentangy Orange|6|Olentangy Berlin|21
Ottawa Hills|62|Vanlue|8
Paint Valley|0|Valley|41
Paulding|18|Crestview|6
Perry|39|Madison|7
Perrysburg|42|Bowling Green|0
Pickerington Central|3|Gahanna Lincoln|35
Pickerington North|31|Troy|14
Piqua|13|Lima Senior|42
Pleasant|7|North Union|49
Plymouth|29|Windham|20
Portsmouth|0|Wheelersburg|63
Portsmouth West|19|Fairland|13
Ravenna|28|Field|7
Reynoldsburg|23|Whitmer|42
Rhodes|7|Firelands|21
Richmond Heights|44|Beachwood|8
Ridgedale|2|Triad|40
Ridgemont|6|Riverdale|30
Ridgewood|14|Fort Frye|19
Riverside|14|Steubenville|35
River View|0|Tri-County North|62
Rocky River|28|Manchester|7
Kent Roosevelt|22|Twinsburg|19
Ross|3|Wyoming|28
Rossford|24|Northwood|27
St Bernard-Elmwood Place|18|Northridge|13
St Charles|42|Central Crossing|7
St Francis de Sales|46|Waite|21
St Henry|35|Celina|38
St John School|0|Edgewood|33
Villa Angela-St Joseph|41|Perkins|44
St Paul|0|Port Clinton|35
St Thomas Aquinas|14|Strasburg-Franklin|43
St Xavier|7|Lakota West|20
Salem|21|Poland Seminary|17
Seneca East|44|Gibsonburg|26
Shadyside|49|East Palestine|13
Shaw|40|Clearview|30
Shawnee|12|Greenon|13
Sheridan|13|Licking Valley|28
Smithville|21|Tuslaw|14
Canton South|6|Garaway|20
South|39|Mifflin|6
South|34|Cuyahoga Falls|0
South Central|12|Willard|16
Southeastern|28|Fairfield Christian Academy|0
South Gallia|32|Southern|30
South Point|30|Eastern|27
South Range|46|Padua Franciscan|7
Springfield|3|Waterloo|8
Springfield|33|Lakeview|10
Start|34|Norwalk|17
Amherst Steele|42|Sandusky|16
Stow-Munroe Falls|34|Aurora|36
Streetsboro|20|Copley|28
Strongsville|24|Avon Lake|22
Swanton|13|North Central|12
Sycamore|6|Kings|34
Sylvania Southview|35|Sylvania Northview|13
Symmes Valley|55|Chesapeake|14
Talawanda|33|Taylor|6
Tinora|0|Liberty Center|61
Toronto|33|Southern|0
Trimble|6|Nelsonville-York|40
Trinity|20|Malvern|24
Tri-Village|21|Bethel|3
Trotwood-Madison|9|Central Catholic|27
Turpin|10|Archbishop McNicholas|31
Twin Valley South|0|Troy Christian|41
Union Local|34|Warren|0
United|42|Minerva|7
Upper Arlington|40|Olentangy|7
Upper Sandusky|30|Northmor|21
Ursuline|7|St Francis DeSales|31
Valley Forge|0|North Royalton|33
Valley View|21|Coldwater|37
Van Buren|23|Fostoria|14
Vermilion|14|Johnstown|34
Wadsworth|28|Cleveland Heights|6
Walnut Hills|13|Withrow|50
Walnut Ridge|0|East|14
Walsh Jesuit|34|Highland|0
Wapakoneta|21|Clay|27
Washington|20|Mechanicsburg|32
Waterford|36|Vinton County|0
Watkins Memorial|0|Worthington Kilbourne|42
Wauseon|26|Fairview|56
Waverly|14|Miami Trace|48
Wayne|25|Fairfield|35
Waynedale|0|Tuscarawas Valley|35
Wayne Trace|0|New Bremen|35
Wellington|7|Western Reserve|45
Wellston|35|Oak Hill|6
West Branch|37|St Clairsville|6
Western Hills|14|Corbin|38
Western Reserve|48|Whetstone|14
Westerville Central|21|Marion-Franklin|0
Westerville South|20|Dublin Jerome|13
West Clermont|42|Mount Healthy|12
West Holmes|14|Triway|21
Westlake|14|Midview|34
Westland|33|Teays Valley|28
West Liberty-Salem|10|Jonathan Alder|41
Wickliffe|41|Bradford|7
Wilmington|20|Northwest|21
Woodridge|25|Revere|14
Worthington Christian|30|Grove City Christian|3
Wynford|34|Cardington-Lincoln|20
KIPP Columbus|21|Beechcroft|27
Ashland Blazer|28|Raceland|21
Berea|0|Jackson County|46
Christian Academy-Louisville|41|Pikeville|0
Covington Catholic|50|Ryle|6
East Carter|12|Belfry|57
Fairview|34|Bath County|13
Greenup County|49|Pike County Central|8
Highlands|20|Frederick Douglass|41
Lewis County|20|West Carter|18
Lloyd Memorial|21|Newport Central Catholic|3
Russell|34|Dawson-Bryant|0
Simon Kenton|42|Dixie Heights|13
St Henry|7|Holy Cross|33
St Xavier (Louisville)|7|Owensboro|24
Trinity (Louisville)|59|Anderson|13
Harlan County|27|Clay County|20
Kennedy Catholic|38|Sebring McKinley|22
Bloomington South|44|Bloomington North|6
Franklin Community|35|Southport|0
Fremont|46|Blackhawk Christian|7
Hamilton Heights|19|Lapel|49
Bishop Chatard|35|Lafayette Jefferson|7
Cardinal Ritter|6|Danville Community|42
Cathedral|27|Ben Davis|33
Lawrenceburg|0|East Central|21
Richmond|20|Connersville|50
Roncalli|14|Bishop Dwenger|15
South Dearborn|0|Little Miami|28
