week,away,away_score,home,home_score,neutral,away_state,home_state
1,Archbishop Alter (Kettering),28,Kettering Fairmont (Kettering),21,0,,
1,Bellaire (Bellaire),31,Buckeye Local (Rayland),6,0,,
1,Bridgeport (Bridgeport),13,Frontier (New Matamoras),36,0,,
1,Calvert (Tiffin),6,Mohawk (Sycamore),39,0,,
1,Centennial (Columbus),0,Westland (Galloway),49,0,,
1,Colonel Crawford (North Robinson),42,Fairbanks (Milford Center),7,1,,
1,Columbus Grove (Columbus Grove),21,Pandora-Gilboa (Pandora),22,0,,
1,East Palestine (East Palestine),40,Shadyside (Shadyside),7,0,,
1,Holy Name (Parma Heights),55,Normandy (Parma),12,0,,
1,Howland (Warren),10,Niles McKinley (Niles),8,0,,
1,Hughes (Cincinnati),20,Dunbar (Dayton),0,0,,
1,Garfield (Akron),21,Southeast (Ravenna),19,0,,
1,Lakewood (Hebron),0,West Muskingum (Zanesville),42,0,,
1,Leetonia (Leetonia),47,Vanlue (Vanlue),0,0,,
1,Liberty (Youngstown),40,Campbell Memorial (Campbell),0,0,,
1,Lima Central Catholic (Lima),22,Shawnee (Lima),19,0,,
1,Mathews (Vienna),13,Jackson-Milton (North Jackson),20,0,,
1,Napoleon (Napoleon),19,Defiance (Defiance),20,0,,
1,Norwood (Norwood),18,Shroder (Cincinnati),33,0,,
1,Perry (Massillon),41,Canton Central Catholic (Canton),14,0,,
1,Piketon (Piketon),42,Northwest (McDermott),19,0,,
1,River Valley (Caledonia),42,Elgin (Marion),15,0,,
1,St Ignatius (Cleveland),14,Avon (Avon),40,0,,
1,Sandy Valley (Magnolia),13,Fairless (Brewster),50,0,,
1,Tri-Valley (Dresden),48,Meadowbrook (Byesville),28,0,,
1,Tuscarawas Central Catholic (New Philadelphia),22,Conotton Valley (Bowerston),50,0,,
1,Unioto (Chillicothe),42,Portsmouth (Portsmouth),0,0,,
1,University School (Hunting Valley),42,Brookside (Sheffield),0,0,,
1,Adena (Frankfort),0,McClain (Greenfield),20,0,,
1,Alliance (Alliance),25,Padua Franciscan (Parma),3,0,,
1,Amanda-Clearcreek (Amanda),20,West Jefferson (West Jefferson),27,0,,
1,Anthony Wayne (Whitehouse),6,Upper Arlington (Upper Arlington),31,0,,
1,Archbold (Archbold),33,Genoa Area (Genoa),28,0,,
1,Arlington (Arlington),41,Hardin Northern (Dola),0,0,,
1,Austintown-Fitch (Austintown),14,Hudson (Hudson),28,0,,
1,Avon Lake (Avon Lake),42,Strongsville (Strongsville),43,0,,
1,Ayersville (Defiance),8,Delta (Delta),42,0,,
1,Badin (Hamilton),38,Hamilton (Hamilton),20,0,,
1,Barberton (Barberton),7,Wadsworth (Wadsworth),55,0,,
1,Batavia (Batavia),42,Madeira (Cincinnati),14,0,,
1,Bay (Bay Village),10,Ashland (Ashland),43,0,,
1,Beavercreek (Beavercreek),18,Xenia (Xenia),27,0,,
1,Beechcroft (Columbus),28,Eastmoor Academy (Columbus),32,0,,
