week,away,away_score,home,home_score,neutral,away_state,home_state
1,Archbishop Alter (Kettering),7,Kettering Fairmont (Kettering),24,0,,
1,Archbishop Carroll (Dayton),36,Ponitz Tech (Dayton),8,0,,
1,Canton Central Catholic (Canton),0,Perry (Massillon),35,0,,
1,Chardon (Chardon),29,Timber Creek (Orlando),7,0,,FL
1,Conneaut (Conneaut),29,Grand Valley (Orwell),26,0,,
1,Crestview (Columbiana),9,Western Reserve (Berlin Center),27,0,,
1,Elder (Cincinnati),28,Withrow (Cincinnati),6,0,,
1,Fairless (Brewster),21,Sandy Valley (Magnolia),14,0,,
1,Frontier (New Matamoras),34,Bridgeport (Bridgeport),38,0,,
1,Greenville (Greenville),7,Eaton (Eaton),23,0,,
1,Warren G Harding (Warren),19,Canton McKinley (Canton),26,0,,
1,Jackson-Milton (North Jackson),24,Mathews (Vienna),6,0,,
1,John F Kennedy (Warren),22,Liberty (Youngstown),19,0,,
1,John Hay (Cleveland),7,Lutheran East (Cleveland Heights),12,0,,
1,Niles McKinley (Niles),0,Howland (Warren),28,0,,
1,Mohawk (Sycamore),27,Calvert (Tiffin),28,0,,
1,North College Hill (Cincinnati),0,Jefferson (Delphos),33,0,,
1,Pandora-Gilboa (Pandora),7,Columbus Grove (Columbus Grove),35,0,,
1,Portsmouth (Portsmouth),15,Valley (Lucasville),12,0,,
1,River (Hannibal),13,Colonel Crawford (North Robinson),55,0,,
1,Shadyside (Shadyside),7,Martins Ferry (Martins Ferry),56,0,,
1,Shawnee (Lima),33,Lima Central Catholic (Lima),19,0,,
1,Walsh Jesuit (Cuyahoga Falls),37,Ursuline (Youngstown),35,0,,
1,Wynford (Bucyrus),13,Galion (Galion),49,0,,
1,IMG Academy (Bradenton),34,Corner Canyon (Draper),35,0,FL,UT
1,NFL Academy London (London),20,Massillon Washington (Massillon),35,1,UK,
1,Ada (Ada),15,Upper Scioto Valley (McGuffey),14,0,,
1,Africentric Early College (Columbus),38,West Jefferson (West Jefferson),14,0,,
1,Amanda-Clearcreek (Amanda),18,Linden McKinley (Columbus),21,0,,
1,Anna (Anna),37,Indian Lake (Lewistown),0,0,,
1,Ansonia (Ansonia),32,Riverside (De Graff),41,0,,
1,Antwerp (Antwerp),34,Montpelier (Montpelier),0,0,,
1,Arcadia (Arcadia),22,Cory-Rawson (Rawson),29,0,,
1,Arcanum (Arcanum),27,Covington (Covington),54,0,,
1,Ashland (Ashland),41,River Valley (Caledonia),27,0,,
1,Lakeside (Ashtabula),21,North (Eastlake),14,0,,
1,Athens (The Plains),28,Philo (Duncan Falls),14,0,,
1,Aurora (Aurora),42,Twinsburg (Twinsburg),6,0,,
1,Avon (Avon),42,St Ignatius (Cleveland),21,1,,
1,Avon Lake (Avon Lake),21,Strongsville (Strongsville),12,0,,
1,Barnesville (Barnesville),51,Fort Frye (Beverly),16,0,,
1,Bath (Lima),14,New Bremen (New Bremen),17,0,,
1,Beachwood (Beachwood),6,Orange (Pepper Pike),44,0,,
1,Beaver Local (East Liverpool),7,Struthers (Struthers),41,0,,
1,Bellbrook (Bellbrook),7,Tippecanoe (Tipp City),28,0,,
1,Beechcroft (Columbus),6,Eastmoor Academy (Columbus),26,0,,
1,Bellefontaine (Bellefontaine),48,Sidney (Sidney),21,0,,
1,Belmont (Dayton),0,Deer Park (Cincinnati),40,0,,
1,Berkshire (Burton),26,Cuyahoga Heights (Cuyahoga Heights),15,0,,
1,Bethel-Tate (Bethel),13,New Richmond (New Richmond),42,0,,
1,Bexley (Columbus),0,Franklin Heights (Columbus),12,0,,
1,Bishop Hartley (Columbus),48,Elyria Catholic (Elyria),28,0,,
1,Bishop Rosecrans (Zanesville),46,Beallsville (Beallsville),0,0,,
1,Bishop Watterson (Columbus),20,Big Walnut (Sunbury),0,0,,
1,Black River (Sullivan),12,Hillsdale (Jeromesville),44,0,,
1,Bloom-Carroll (Carroll),38,Chillicothe (Chillicothe),0,0,,
1,Bluffton (Bluffton),50,Benjamin Logan (Bellefontaine),3,0,,
1,Bowling Green (Bowling Green),7,Otsego (Tontogany),41,0,,
1,Bowsher (Toledo),6,Oak Harbor (Oak Harbor),44,0,,
1,Briggs (Columbus),12,Grandview Heights (Columbus),28,0,,
1,Brookfield (Brookfield),19,Hubbard (Hubbard),49,0,,
1,Brookside (Sheffield),26,Brooklyn (Brooklyn),0,0,,
1,Brookville (Brookville),42,Tri-County North (Lewisburg),6,0,,
1,Brunswick (Brunswick),27,Berea-Midpark (Berea),34,0,,
1,Brush (Lyndhurst),25,Lorain (Lorain),40,0,,
1,Bryan (Bryan),8,Van Wert (Van Wert),48,0,,
1,Buchtel (Akron),22,Hoover (North Canton),13,0,,
1,Buckeye Local (Rayland),6,Bellaire (Bellaire),38,0,,
1,Butler (Vandalia),49,Northmont (Clayton),20,0,,
1,Harrison Central (Cadiz),28,Claymont (Uhrichsville),13,0,,
1,Caldwell (Caldwell),19,Buckeye Trail (Lore City),21,0,,
1,Cambridge (Cambridge),13,Indian Creek (Wintersville),41,0,,
1,Canal Winchester (Canal Winchester),38,Thomas Worthington (Worthington),13,0,,
1,Canfield (Canfield),7,West Branch (Beloit),27,0,,
1,Cardinal (Middlefield),34,LaBrae (Leavittsburg),58,0,,
1,Carrollton (Carrollton),20,East Liverpool (East Liverpool),13,0,,
1,Catholic Central (Springfield),37,Bradford (Bradford),6,0,,
1,Cedarville (Cedarville),42,Fayetteville (Fayetteville),0,0,,
1,Centennial (Columbus),0,Westland (Galloway),42,0,,
1,Centerburg (Centerburg),21,Utica (Utica),6,0,,
1,Centerville (Centerville),31,Lakota East (Liberty Township),21,0,,
1,Chippewa (Doylestown),7,Wickliffe (Wickliffe),42,0,,
1,Cincinnati Country Day (Cincinnati),65,Summit Country Day (Cincinnati),27,0,,
1,Cincinnati Hills Christian Academy (Cincinnati),21,Columbus Academy (Gahanna),22,0,,
1,Circleville (Circleville),32,Warren (Vincent),27,0,,
1,Clay (Oregon),38,Sandusky (Sandusky),21,0,,
1,Clear Fork (Bellville),0,Perkins (Sandusky),55,0,,
1,Cleveland Central Catholic (Cleveland),0,Bay (Bay Village),33,0,,
1,Clinton-Massie (Clarksville),31,Waynesville (Waynesville),21,0,,
1,Cloverleaf (Seville),21,Buckeye (Medina),49,0,,
1,Clyde (Clyde),34,Bellevue (Bellevue),0,0,,
1,Thurgood Marshall (Dayton),6,Dohn Community (Cincinnati),14,0,,
1,Columbiana (Columbiana),38,Lowellville (Lowellville),51,0,,
1,Crestline (Crestline),44,Buckeye Central (New Washington),27,0,,
1,Crestwood (Mantua),20,Rootstown (Rootstown),2,0,,
1,Cuyahoga Valley Christian Academy (Cuyahoga Falls),21,Streetsboro (Streetsboro),29,0,,
1,Dalton (Dalton),34,Kirtland (Kirtland),55,0,,
1,Dawson-Bryant (Coal Grove),14,Greenup County (Greenup),37,0,,KY
1,Defiance (Defiance),34,Napoleon (Napoleon),35,0,,
1,Delta (Delta),55,Ayersville (Defiance),6,0,,
1,Dixie (New Lebanon),3,Perry (Lima),33,0,,
1,Dublin Coffman (Dublin),14,Whitmer (Toledo),42,0,,
1,Dunbar (Dayton),8,Hughes (Cincinnati),28,0,,
1,East (Akron),6,Chaney (Youngstown),21,0,,
1,East (Columbus),30,Meadowdale (Dayton),0,0,,
1,Dublin Jerome (Dublin),7,Westerville South (Westerville),14,0,,
1,Eastern (Reedsville),42,River Valley (Bidwell),0,0,,
1,East Knox (Howard),7,Northridge (Johnstown),8,0,,
1,Eastwood (Pemberville),38,Kenton (Kenton),35,0,,
1,Edgerton (Edgerton),26,Edon (Edon),36,0,,
1,Edgewood (Ashtabula),27,Garfield (Garrettsville),47,0,,
1,Edgewood (Trenton),3,Milford (Milford),33,0,,
1,Edison (Milan),47,Firelands (Oberlin),16,0,,
1,Edison (Richmond),40,Shenandoah (Sarahsville),42,0,,
1,Elgin (Marion),22,Cardington-Lincoln (Cardington),26,0,,
1,Elida (Elida),40,Rogers (Toledo),0,0,,
1,Ellet (Akron),8,Indian Valley (Gnadenhutten),51,0,,
1,Elyria (Elyria),7,Mayfield (Mayfield),16,0,,
1,Euclid (Euclid),12,Austintown-Fitch (Austintown),49,0,,
1,Evergreen (Metamora),35,Elmwood (Bloomdale),7,0,,
1,Fairbanks (Milford Center),21,Jonathan Alder (Plain City),35,0,,
1,Fairborn (Fairborn),33,Tecumseh (New Carlisle),0,0,,
1,Fairport Harding (Fairport Harbor),40,Leetonia (Leetonia),7,0,,
1,Fairview (Fairview Park),0,Clearview (Lorain),34,0,,
1,Federal Hocking (Stewart),0,Green (Franklin Furnace),42,0,,
1,Bishop Fenwick (Franklin),13,Franklin (Franklin),22,0,,
1,Findlay (Findlay),21,Central Catholic (Toledo),54,0,,
1,Finneytown (Cincinnati),14,Clermont Northeastern (Batavia),16,0,,
1,Firestone (Akron),34,Cuyahoga Falls (Cuyahoga Falls),0,0,,
1,Fredericktown (Fredericktown),30,Highland (Marengo),28,0,,
1,Fremont Ross (Fremont),11,Tiffin Columbian (Tiffin),27,0,,
1,Gallia Academy (Gallipolis),19,Meigs (Pomeroy),26,0,,
1,Garfield Heights (Garfield Heights),22,Lutheran West (Rocky River),9,0,,
1,Genoa Area (Genoa),14,Archbold (Archbold),27,0,,
1,Girard (Girard),56,Jefferson Area (Jefferson),25,0,,
1,Glenville (Cleveland),6,Upper Arlington (Upper Arlington),0,0,,
1,Granville (Granville),47,Marion-Franklin (Columbus),12,0,,
1,Green (Uniontown),24,Dover (Dover),28,0,,
1,Greenon (Enon),0,Miami East (Casstown),33,0,,
1,Hamilton Township (Columbus),21,Whitehall-Yearling (Whitehall),0,0,,
1,Hardin Northern (Dola),33,Arlington (Arlington),53,0,,
1,Delaware Hayes (Delaware),28,Buckeye Valley (Delaware),14,0,,
1,Hicksville (Hicksville),6,Patrick Henry (Hamler),47,0,,
1,Highland (Medina),31,Hudson (Hudson),24,0,,
1,Hilliard Bradley (Hilliard),7,Groveport Madison (Groveport),28,0,,
1,Hilliard Darby (Hilliard),13,Anthony Wayne (Whitehouse),35,0,,
1,Hillsboro (Hillsboro),39,Western Brown (Mount Orab),42,0,,
1,Holy Name (Parma Heights),0,Lakeview (Cortland),33,0,,
1,Hopewell-Loudon (Bascom),27,Carey (Carey),22,0,,
1,Huntington (Chillicothe),28,East Clinton (Sabina),14,0,,
1,Independence (Columbus),22,Central Crossing (Grove City),29,0,,
1,Independence (Independence),20,Columbia (Columbia Station),41,0,,
1,Indian Hill (Cincinnati),30,Roger Bacon (St Bernard),17,0,,
1,Ironton (Ironton),37,Wheelersburg (Wheelersburg),7,0,,
1,Jackson (Jackson),42,Logan (Logan),7,0,,
1,Jackson (Massillon),13,Mentor (Mentor),36,0,,
1,John Adams (Cleveland),28,Woodward (Toledo),8,0,,
1,Johnstown (Johnstown),38,Zanesville (Zanesville),0,0,,
1,Kenston (Chagrin Falls),18,Boardman (Youngstown),19,0,,
1,Lake (Millbury),34,Leipsic (Leipsic),22,0,,
1,Lake (Uniontown),36,McKeesport (McKeesport),35,1,,PA
1,Lake Catholic (Mentor),14,Cardinal Mooney (Youngstown),0,0,,
1,La Salle (Cincinnati),20,Colerain (Cincinnati),7,0,,
1,Lehman Catholic (Sidney),27,St John's (Delphos),54,0,,
1,Lexington (Lexington),14,Ontario (Ontario),31,0,,
1,Liberty-Benton (Findlay),34,Ottawa-Glandorf (Ottawa),6,0,,
1,Liberty Union (Baltimore),7,Heath (Heath),50,0,,
1,Licking Heights (Pataskala),21,Newark (Newark),31,0,,
1,Little Miami (Morrow),0,Springboro (Springboro),31,0,,
1,Logan Elm (Circleville),33,Zane Trace (Chillicothe),27,0,,
1,Loudonville (Loudonville),24,Mapleton (Ashland),32,0,,
1,Loveland (Loveland),7,Harrison (Harrison),40,0,,
1,Madeira (Cincinnati),26,Batavia (Batavia),21,0,,
1,Madison (Middletown),0,Preble Shawnee (Camden),52,0,,
1,Madison Comprehensive (Mansfield),14,Shelby (Shelby),40,0,,
1,Madison-Plains (London),19,Westfall (Williamsport),29,0,,
1,Manchester (New Franklin),41,Coventry (Akron),0,0,,
1,Manchester (Manchester),38,Pendleton County (Falmouth),15,0,,KY
1,Maple Heights (Maple Heights),34,North Royalton (North Royalton),23,0,,
1,Mariemont (Cincinnati),14,Oakwood (Dayton),21,0,,
