week,away,away_score,home,home_score,neutral,away_state,home_state
1,Marietta (Marietta),13,Morgan (McConnelsville),12,0,,
1,Marion Local (Maria Stein),45,Linton-Stockton (Linton),6,0,,IN
1,Marlington (Alliance),24,Warrensville Heights (Warrensville Heights),12,0,,
1,Marysville (Marysville),13,Olentangy Orange (Lewis Center),49,0,,
1,Mason (Mason),10,Gahanna Lincoln (Gahanna),24,0,,
1,Maumee (Maumee),41,Springfield (Holland),8,0,,
1,Maysville (Zanesville),0,John Glenn (New Concord),42,0,,
1,McClain (Greenfield),8,Adena (Frankfort),24,0,,
1,McDonald (McDonald),35,Champion (Warren),9,0,,
1,Archbishop McNicholas (Cincinnati),16,Steubenville (Steubenville),18,0,,
1,Meadowbrook (Byesville),12,Tri-Valley (Dresden),43,0,,
1,Mechanicsburg (Mechanicsburg),21,Kenton Ridge (Springfield),35,0,,
1,Campbell Memorial (Campbell),48,St Thomas Aquinas (Louisville),0,0,,
1,Miamisburg (Miamisburg),10,Chaminade Julienne (Dayton),21,0,,
1,Miami Valley Christian Academy (Cincinnati),0,Grove City Christian (Grove City),42,0,,
1,Middletown (Middletown),28,Troy (Troy),18,0,,
1,Mifflin (Columbus),8,West (Columbus),56,0,,
1,Miller (Corning),33,Eastern (Beaver),34,0,,
1,Millersport (Millersport),20,New London (New London),34,0,,
1,Milton-Union (West Milton),0,Versailles (Versailles),33,0,,
1,Mineral Ridge (Mineral Ridge),27,Pymatuning Valley (Andover),38,0,,
1,Minford (Minford),12,Rock Hill (Ironton),28,0,,
1,Minster (Minster),49,Fort Loramie (Fort Loramie),21,0,,
1,Mississinawa Valley (Union City),12,Waynesfield-Goshen (Waynesfield),36,0,,
1,Archbishop Moeller (Cincinnati),38,Princeton (Cincinnati),21,0,,
1,Mogadore (Mogadore),12,Field (Mogadore),14,0,,
1,Monroe (Monroe),35,Goshen (Goshen),0,0,,
1,Monroe Central (Woodsfield),59,Belpre (Belpre),12,0,,
1,Monroeville (Monroeville),45,Lakota (Kansas),13,0,,
1,Mount Vernon (Mount Vernon),27,Marion Harding (Marion),31,0,,
1,National Trail (New Paris),14,Bethel (Tipp City),41,0,,
1,New Albany (New Albany),21,Lebanon (Lebanon),28,0,,
1,Newcomerstown (Newcomerstown),42,Berne Union (Sugar Grove),7,0,,
1,New Lexington (New Lexington),49,Fairfield Union (Lancaster),7,0,,
1,New Philadelphia (New Philadelphia),12,Louisville (Louisville),7,0,,
1,Newton Falls (Newton Falls),14,East Palestine (East Palestine),45,0,,
1,Nordonia (Macedonia),41,Bedford (Bedford),6,0,,
1,North (Akron),8,Lancaster (Lancaster),38,0,,
1,Northeastern (South Vienna),35,Urbana (Urbana),44,0,,
1,Northridge (Dayton),12,Greeneview (Jamestown),34,0,,
1,North Ridgeville (North Ridgeville),48,North Olmsted (North Olmsted),0,0,,
1,Norwalk (Norwalk),26,Start (Toledo),7,0,,
1,Northwest (Canal Fulton),29,Norton (Norton),14,0,,
1,Northwest (McDermott),0,Piketon (Piketon),26,0,,
1,Northwestern (West Salem),14,Keystone (La Grange),62,0,,
1,Norwayne (Creston),21,St Clairsville (St Clairsville),28,0,,
1,Notre Dame-Cathedral Latin (Chardon),7,Riverside (Painesville),31,0,,
1,Oberlin (Oberlin),0,Plymouth (Plymouth),31,0,,
1,Olentangy Liberty (Powell),28,Olentangy (Lewis Center),0,0,,
1,Olmsted Falls (Olmsted Falls),16,Solon (Solon),13,0,,
1,Orrville (Orrville),41,Wooster (Wooster),18,0,,
1,Ottawa Hills (Toledo),7,Gibsonburg (Gibsonburg),26,0,,
1,Padua Franciscan (Parma),34,Alliance (Alliance),6,0,,
1,Paint Valley (Bainbridge),28,Blanchester (Blanchester),14,0,,
1,Parkway (Rockford),7,Crestview (Convoy),49,0,,
1,Paulding (Paulding),34,Swanton (Swanton),0,0,,
1,Perry (Perry),42,Madison (Madison),10,0,,
1,Perrysburg (Perrysburg),28,St Francis de Sales (Toledo),21,0,,
1,Piqua (Piqua),20,Lima Senior (Lima),35,0,,
1,Pleasant (Marion),44,North Union (Richwood),0,0,,
1,Portsmouth West (West Portsmouth),0,Fairland (Proctorville),34,0,,
1,Purcell Marian (Cincinnati),28,Williamsburg (Williamsburg),35,0,,
1,Ravenna (Ravenna),7,Kent Roosevelt (Kent),14,0,,
1,Reading (Reading),33,Woodward (Cincinnati),0,0,,
1,Reynoldsburg (Reynoldsburg),30,Dublin Scioto (Dublin),7,0,,
1,Rhodes (Cleveland),0,Hawken (Gates Mills),42,0,,
1,Ridgedale (Morral),14,Hilltop (West Unity),13,0,,
1,Ridgemont (Mt Victory),19,Spencerville (Spencerville),29,0,,
1,Ridgewood (West Lafayette),42,Coshocton (Coshocton),2,0,,
1,Rittman (Rittman),35,Strasburg-Franklin (Strasburg),22,0,,
1,Riverdale (Mt Blanchard),13,Bucyrus (Bucyrus),6,0,,
1,River View (Warsaw),0,Garaway (Sugarcreek),56,0,,
1,Rocky River (Rocky River),35,Harvey (Painesville),13,0,,
1,Ross (Hamilton),14,Wyoming (Cincinnati),28,0,,
1,Rossford (Rossford),21,Northwood (Northwood),14,0,,
1,St Charles (Columbus),28,West Carrollton (West Carrollton),0,0,,
1,St Edward (Lakewood),28,Pickerington North (Pickerington),0,0,,
1,St Francis DeSales (Columbus),10,Olentangy Berlin (Delaware),17,0,,
1,St Henry (St Henry),14,St Marys Memorial (St Marys),33,0,,
1,St John's Jesuit (Toledo),21,Wapakoneta (Wapakoneta),35,0,,
1,Villa Angela-St Joseph (Cleveland),42,GlenOak (Canton),7,0,,
1,St Paul (Norwalk),0,Huron (Huron),38,0,,
1,St Vincent-St Mary (Akron),21,Mansfield Senior (Mansfield),14,0,,
1,St Xavier (Cincinnati),13,Lakota West (West Chester),17,0,,
1,Salem (Salem),10,Poland Seminary (Poland),28,0,,
1,Scott (Toledo),12,Allen East (Harrod),46,0,,
1,Seneca East (Attica),35,Crestview (Ashland),20,0,,
1,Shaw (East Cleveland),7,Normandy (Parma),31,0,,
1,Shawnee (Springfield),34,Stebbins (Riverside),35,0,,
1,Sheridan (Thornville),7,Licking Valley (Newark),30,0,,
1,Shroder (Cincinnati),46,Norwood (Norwood),16,0,,
1,Smithville (Smithville),17,Tuslaw (Massillon),0,0,,
1,Canton South (Canton),7,Benedictine (Cleveland),43,0,,
1,South (Columbus),13,Celina (Celina),55,0,,
1,South (Willoughby),14,Shaker Heights (Shaker Heights),28,0,,
1,South Central (Greenwich),7,Willard (Willard),32,0,,
1,Southeastern (Chillicothe),46,Sciotoville Community (Portsmouth),8,0,,
1,Southeastern Local (South Charleston),6,Northwestern (Springfield),41,0,,
1,South Gallia (Crown City),20,Southern (Racine),38,0,,
1,South Point (South Point),0,Boyd County (Ashland),38,0,,KY
1,Springfield (Akron),0,Waterloo (Atwater),28,0,,
1,Springfield (New Middletown),14,South Range (Canfield),42,0,,
1,Amherst Steele (Amherst),34,Copley (Copley),18,0,,
1,Stow-Munroe Falls (Stow),14,Medina (Medina),42,0,,
1,Sycamore (Cincinnati),7,Kings (Kings Mills),42,0,,
1,Sylvania Southview (Sylvania),42,Sylvania Northview (Sylvania),0,0,,
1,Symmes Valley (Willow Wood),28,Chesapeake (Chesapeake),37,0,,
1,Taft (Cincinnati),43,Pleasure Ridge Park (Louisville),0,0,,KY
1,Talawanda (Oxford),7,Taylor (Cleves),21,0,,
1,Tallmadge (Tallmadge),13,Brecksville-Broadview Heights (Broadview Heights),7,0,,
1,Teays Valley (Ashville),7,Grove City (Grove City),42,0,,
1,Tinora (Defiance),0,Liberty Center (Liberty Center),38,0,,
1,Toronto (Toronto),41,East Canton (East Canton),0,0,,
1,Triad (North Lewisburg),19,Mount Gilead (Mount Gilead),46,0,,
1,Trimble (Glouster),14,Nelsonville-York (Nelsonville),21,0,,
1,Tri-Village (New Madison),56,Troy Christian (Troy),0,0,,
1,Trotwood-Madison (Trotwood),0,Cleveland Heights (Cleveland Heights),6,0,,
1,Turpin (Cincinnati),31,Oak Hills (Cincinnati),34,0,,
1,Twin Valley South (West Alexandria),7,Carlisle (Carlisle),52,0,,
1,Union Local (Belmont),34,Southern (Salineville),20,0,,
1,United (Hanoverton),27,Minerva (Minerva),0,0,,
1,University School (Hunting Valley),7,Geneva (Geneva),27,0,,
1,Upper Sandusky (Upper Sandusky),14,Northmor (Galion),48,0,,
1,Valley Forge (Parma Heights),14,Gilmour Academy (Gates Mills),49,0,,
1,Valley View (Germantown),0,Coldwater (Coldwater),38,0,,
1,Van Buren (Van Buren),38,Fostoria (Fostoria),0,0,,
1,Vanlue (Vanlue),14,North Baltimore (North Baltimore),56,0,,
1,Vermilion (Vermilion),26,Margaretta (Castalia),0,0,,
1,Vinton County (McArthur),8,Unioto (Chillicothe),45,0,,
1,Wadsworth (Wadsworth),42,Barberton (Barberton),0,0,,
1,Waite (Toledo),6,Port Clinton (Port Clinton),55,0,,
1,Walnut Ridge (Columbus),8,Northland (Columbus),6,0,,
1,Washington (Washington Court House),6,London (London),51,0,,
1,Waterford (Waterford),40,Alexander (Albany),0,0,,
1,Wauseon (Wauseon),12,Fairview (Sherwood),30,0,,
1,Waverly (Waverly),28,Miami Trace (Washington Court House),23,0,,
1,Wayne (Huber Heights),31,Fairfield (Fairfield),13,0,,
1,Waynedale (Apple Creek),35,Tuscarawas Valley (Zoarville),41,0,,
1,Wayne Trace (Haviland),6,Fort Recovery (Fort Recovery),20,0,,
1,Wellington (Wellington),23,Western Reserve (Collins),34,0,,
1,Wellston (Wellston),15,Oak Hill (Oak Hill),7,0,,
1,Western Hills (Cincinnati),8,Walnut Hills (Cincinnati),30,0,,
1,Westerville North (Westerville),34,Westerville Central (Westerville),0,0,,
1,West Clermont (Cincinnati),20,Mount Healthy (Cincinnati),18,0,,
1,West Geauga (Chesterland),15,Chagrin Falls (Chagrin Falls),17,0,,
1,West Holmes (Millersburg),7,Triway (Wooster),17,0,,
1,Westlake (Westlake),14,Midview (Grafton),34,0,,
1,West Liberty-Salem (West Liberty),42,Graham Local (St Paris),14,0,,
1,West Muskingum (Zanesville),42,Lakewood (Hebron),0,0,,
1,Wilmington (Wilmington),30,Northwest (Cincinnati),0,0,,
1,Windham (Windham),49,Lisbon David Anderson (Lisbon),6,0,,
1,Winton Woods (Cincinnati),16,Springfield (Springfield),6,0,,
1,Woodmore (Elmore),37,North Central (Pioneer),0,0,,
1,Woodridge (Peninsula),6,Revere (Richfield),7,0,,
1,Harvest Prep (Canal Winchester),24,Pickerington Central (Pickerington),21,0,,
1,Worthington Christian (Worthington),21,Danville (Danville),50,0,,
1,Worthington Kilbourne (Columbus),16,Watkins Memorial (Pataskala),13,0,,
1,Xenia (Xenia),26,Beavercreek (Beavercreek),7,0,,
1,Valley Christian School (Youngstown),16,Malvern (Malvern),36,0,,
1,Gamble Montessori (Cincinnati),8,New Miami (Hamilton),14,0,,
1,KIPP Columbus (Columbus),13,McComb (McComb),20,0,,
1,Ashland Blazer (Ashland),28,Raceland (Raceland),7,0,KY,KY
1,Bishop Brossart (Alexandria),31,Walton-Verona (Walton),6,0,KY,KY
1,Campbell County (Alexandria),63,Scott (Covington),27,0,KY,KY
1,Covington Catholic (Park Hills),14,Ryle (Union),30,0,KY,KY
1,DuPont Manual,20,Central (Louisville),13,0,KY,KY
1,Fairview (Ashland),32,Bath County,22,0,KY,KY
1,Holy Cross (Covington),0,Sayre (Lexington),49,0,KY,KY
1,Ludlow (Ludlow),33,Lockland (Lockland),0,0,KY,
1,Paintsville (Paintsville),46,Floyd Central (Eastern),6,0,KY,KY
1,Pikeville (Pikeville),7,Corbin,22,0,KY,KY
1,Russell (Russell),12,Mason County,21,0,KY,KY
1,Shelby Valley (Pikeville),12,Letcher County Central,47,0,KY,KY
1,Simon Kenton (Independence),50,Dixie Heights (Edgewood),35,0,KY,KY
1,South Oldham (Crestwood),6,Anderson (Cincinnati),51,0,KY,
1,St Xavier (Louisville),56,Floyd Central (Eastern),14,0,KY,KY
1,Trinity (Louisville),28,Bryan Station,10,0,KY,KY
1,Central Dauphin,0,Central York (York),47,0,PA,PA
1,State College,49,Gateway (Monroeville),14,0,PA,PA
1,Uniontown,20,Laurel Highlands (Uniontown),45,0,PA,PA
1,Pine-Richland (Gibsonia),35,Hilliard Davidson (Hilliard),24,0,PA,
1,Carlynton,33,Carrick (Pittsburgh),18,0,PA,PA
1,Bentworth,48,Brownsville (Brownsville),0,0,PA,PA
1,Taylor Allderdice (Pittsburgh),20,Fox Chapel,9,0,PA,PA
1,McDowell (Erie),34,Woodland Hills,28,0,PA,PA
1,Cathedral Prep (Erie),18,Erie (Erie),6,0,PA,PA
1,Meadville,41,Fort LeBoeuf,27,0,PA,PA
1,General McLane (Edinboro),47,New Castle (New Castle),49,0,PA,PA
1,Oil City (Oil City),6,Harbor Creek (Harborcreek),13,0,PA,PA
1,Grove City,21,North East (North East),0,0,PA,PA
1,Slippery Rock,0,Fairview (Fairview),35,0,PA,PA
1,Titusville (Titusville),22,Corry (Corry),28,0,PA,PA
1,Sharon (Sharon),55,Mercyhurst Prep (Erie),6,0,PA,PA
1,Girard (Girard),23,Sharpsville,32,0,PA,PA
1,Seneca,35,Saegertown,7,0,PA,PA
1,Greenville,7,Wilmington (New Wilmington),28,0,PA,PA
1,Reynolds (Greenville),15,Eisenhower,0,0,PA,PA
1,Union City,0,Maplewood (Guys Mills),21,0,PA,PA
1,Lakeview,32,Northwestern (Albion),26,0,PA,PA
1,Iroquois,40,Cochranton,6,0,PA,PA
1,University Prep (USO co-op) (Pittsburgh),18,Hampton,22,0,PA,PA
1,Conneaut Area (Linesville),61,Warren,0,0,PA,PA
1,Churubusco,0,Columbia City,42,0,IN,IN
1,Bishop Dwenger (Fort Wayne),13,Brownsburg,45,0,IN,IN
1,Blackhawk Christian (Fort Wayne),6,Bluffton (Bluffton),39,0,IN,IN
1,Fort Wayne Wayne,40,Crispus Attucks (Indianapolis),34,0,IN,IN
1,Homestead,10,Carmel (Carmel),34,0,IN,IN
1,Bishop Chatard (Indianapolis),58,Brebeuf Jesuit Preparatory,35,0,IN,IN
1,Cathedral (Indianapolis),24,Ben Davis,6,0,IN,IN
1,Lawrence North (Indianapolis),33,Lawrence Central,26,0,IN,IN
1,Lawrenceburg (Lawrenceburg),3,East Central (St Leon),24,0,IN,IN
1,Richmond (Richmond),20,Connersville,26,0,IN,IN
1,Roncalli (Indianapolis),37,Southport,13,0,IN,IN
1,Sullivan,48,North Knox,6,0,IN,IN
1,Terre Haute North Vigo,20,Northview,34,0,IN,IN
1,Westfield,34,Center Grove (Greenwood),28,0,IN,IN
1,Yorktown,41,Anderson,2,0,IN,IN
1,Purdue Poly - Englewood (Indianapolis),8,Indianapolis Shortridge (Indianapolis),26,0,IN,IN
1,KIPP Memphis (Memphis),28,Innovation Academy (Springfield),21,0,TN,TN
1,St Michael the Archangel (Fredericksburg),47,Life Christian Academy (Chester),0,0,VA,VA
1,Archbishop Spalding (Severn),28,Archbishop Hoban (Akron),14,0,MD,
1,Mt Zion Prep (Lanham),6,McDonogh School (Owings Mills),41,0,MD,MD
1,Christ Prep Academy (Lenexa),27,Landmark Eagles (club) (Cincinnati),19,1,KS,
1,Football North (via Clarkson SS) (Mississauga),20,Imhotep Charter (Philadelphia),38,1,ON,PA
1,Kodiak (Kodiak),0,Houston (Houston),52,0,AK,AK
1,Benedictine Military School (Savannah),28,Buford (Buford),29,0,GA,GA
