name,school,city,school_id,division,region,record,harbin
Mentor (Mentor),Mentor,Mentor,1016,I,1,10-0,31.0423
Whitmer (Toledo),Whitmer,Toledo,1704,I,1,8-2,23.9
Perrysburg (Perrysburg),Perrysburg,Perrysburg,1248,I,1,8-2,23.65
Jackson (Massillon),Jackson,Massillon,764,I,1,7-3,23.45
Canton McKinley (Canton),Canton McKinley,Canton,306,I,1,6-4,22.3745
Lorain (Lorain),Lorain,Lorain,894,I,1,9-1,21.2745
St Edward (Lakewood),St Edward,Lakewood,1346,I,1,5-5,19.5211
Strongsville (Strongsville),Strongsville,Strongsville,1498,I,1,6-4,15.4
Cleveland Heights (Cleveland Heights),Cleveland Heights,Cleveland Heights,385,I,1,6-4,14.5354
Findlay (Findlay),Findlay,Findlay,586,I,1,4-6,8.15
Berea-Midpark (Berea),Berea-Midpark,Berea,200,I,1,3-7,7.95
Normandy (Parma),Normandy,Parma,1118,I,1,3-7,6.4995
Brunswick (Brunswick),Brunswick,Brunswick,268,I,1,3-7,6.05
Medina (Medina),Medina,Medina,1006,I,1,2-8,4.2303
John Marshall (Cleveland),John Marshall,Cleveland,792,I,1,2-8,2.2432
St Ignatius (Cleveland),St Ignatius,Cleveland,1354,I,1,1-9,1.9126
GlenOak (Canton),GlenOak,Canton,650,I,1,1-9,1.1112
Elyria (Elyria),Elyria,Elyria,532,I,1,0-10,0.0
Kettering Fairmont (Kettering),Kettering Fairmont,Kettering,807,I,2,8-2,25.4
Centerville (Centerville),Centerville,Centerville,336,I,2,7-3,25.3081
Westland (Galloway),Westland,Galloway,1686,I,2,8-2,23.0
Springfield (Springfield),Springfield,Springfield,1480,I,2,6-4,19.2592
Hilliard Davidson (Hilliard),Hilliard Davidson,Hilliard,716,I,2,6-4,16.1227
Lebanon (Lebanon),Lebanon,Lebanon,846,I,2,6-4,14.0
Springboro (Springboro),Springboro,Springboro,1470,I,2,6-4,13.45
Wayne (Huber Heights),Wayne,Huber Heights,1638,I,2,5-5,12.4929
Middletown (Middletown),Middletown,Middletown,1026,I,2,5-5,11.25
Dublin Jerome (Dublin),Dublin Jerome,Dublin,486,I,2,4-6,6.4
Northmont (Clayton),Northmont,Clayton,1142,I,2,2-8,5.75
Marysville (Marysville),Marysville,Marysville,970,I,2,3-7,5.2
Hilliard Bradley (Hilliard),Hilliard Bradley,Hilliard,713,I,2,2-8,3.9
Dublin Coffman (Dublin),Dublin Coffman,Dublin,474,I,2,2-8,3.75
Beavercreek (Beavercreek),Beavercreek,Beavercreek,178,I,2,3-7,3.3672
Central Crossing (Grove City),Central Crossing,Grove City,345,I,2,1-9,2.75
Hilliard Darby (Hilliard),Hilliard Darby,Hilliard,717,I,2,1-9,0.65
Olentangy Liberty (Powell),Olentangy Liberty,Powell,1203,I,3,8-2,33.8
Pickerington Central (Pickerington),Pickerington Central,Pickerington,1254,I,3,8-2,29.4944
Gahanna Lincoln (Gahanna),Gahanna Lincoln,Gahanna,876,I,3,8-2,28.3
Olentangy Orange (Lewis Center),Olentangy Orange,Lewis Center,1211,I,3,8-2,28.15
Upper Arlington (Upper Arlington),Upper Arlington,Upper Arlington,1572,I,3,8-2,27.35
Olentangy Berlin (Delaware),Olentangy Berlin,Delaware,1201,I,3,8-2,27.2
Pickerington North (Pickerington),Pickerington North,Pickerington,1255,I,3,8-2,23.1803
Groveport Madison (Groveport),Groveport Madison,Groveport,682,I,3,6-4,21.2
Delaware Hayes (Delaware),Delaware Hayes,Delaware,704,I,3,7-3,18.75
Westerville North (Westerville),Westerville North,Westerville,1672,I,3,6-4,16.45
Grove City (Grove City),Grove City,Grove City,680,I,3,7-3,16.3
Newark (Newark),Newark,Newark,1088,I,3,7-3,16.05
Olentangy (Lewis Center),Olentangy,Lewis Center,1202,I,3,8-2,15.85
Reynoldsburg (Reynoldsburg),Reynoldsburg,Reynoldsburg,1290,I,3,4-6,9.25
Watkins Memorial (Pataskala),Watkins Memorial,Pataskala,1632,I,3,3-7,5.0
Lancaster (Lancaster),Lancaster,Lancaster,838,I,3,3-7,4.2742
Westerville Central (Westerville),Westerville Central,Westerville,1671,I,3,1-9,1.2
Thomas Worthington (Worthington),Thomas Worthington,Worthington,1738,I,3,0-10,0.0
Archbishop Moeller (Cincinnati),Archbishop Moeller,Cincinnati,1056,I,4,9-1,35.7563
Lakota West (West Chester),Lakota West,West Chester,837,I,4,9-1,30.6
Winton Woods (Cincinnati),Winton Woods,Cincinnati,1719,I,4,9-1,30.4
Princeton (Cincinnati),Princeton,Cincinnati,1274,I,4,8-2,26.55
Hamilton (Hamilton),Hamilton,Hamilton,685,I,4,8-2,25.6
St Xavier (Cincinnati),St Xavier,Cincinnati,1388,I,4,7-3,23.7907
Elder (Cincinnati),Elder,Cincinnati,522,I,4,5-5,21.0915
Lakota East (Liberty Township),Lakota East,Liberty Township,836,I,4,7-3,20.65
West Clermont (Cincinnati),West Clermont,Cincinnati,1677,I,4,7-3,20.15
Mason (Mason),Mason,Mason,972,I,4,5-5,10.95
Milford (Milford),Milford,Milford,1034,I,4,4-6,7.4
Oak Hills (Cincinnati),Oak Hills,Cincinnati,1188,I,4,4-6,6.45
Fairfield (Fairfield),Fairfield,Fairfield,550,I,4,2-8,1.95
Little Miami (Morrow),Little Miami,Morrow,884,I,4,1-9,1.3
Walnut Hills (Cincinnati),Walnut Hills,Cincinnati,1610,I,4,1-9,1.2
Sycamore (Cincinnati),Sycamore,Cincinnati,1508,I,4,1-9,0.65
Western Hills (Cincinnati),Western Hills,Cincinnati,1666,I,4,1-9,0.55
Colerain (Cincinnati),Colerain,Cincinnati,396,I,4,0-10,0.0
Walsh Jesuit (Cuyahoga Falls),Walsh Jesuit,Cuyahoga Falls,1614,II,5,10-0,35.35
Archbishop Hoban (Akron),Archbishop Hoban,Akron,724,II,5,8-2,29.4917
Nordonia (Macedonia),Nordonia,Macedonia,1116,II,5,8-2,22.7798
Austintown-Fitch (Austintown),Austintown-Fitch,Austintown,148,II,5,7-3,21.05
Warren G Harding (Warren),Warren G Harding,Warren,692,II,5,7-3,20.9697
Green (Uniontown),Green,Uniontown,670,II,5,6-4,20.6
