name,school,city,school_id,division,region,record,harbin
St Edward (Lakewood),St Edward,Lakewood,1346,I,1,8-1,36.2037
Cleveland Heights (Cleveland Heights),Cleveland Heights,Cleveland Heights,385,I,1,9-1,32.7103
Wadsworth (Wadsworth),Wadsworth,Wadsworth,1606,I,1,8-2,27.6625
Canton McKinley (Canton),Canton McKinley,Canton,306,I,1,7-3,26.7242
Mentor (Mentor),Mentor,Mentor,1016,I,1,7-3,21.4398
Medina (Medina),Medina,Medina,1006,I,1,7-3,19.3995
Berea-Midpark (Berea),Berea-Midpark,Berea,200,I,1,6-4,18.75
GlenOak (Canton),GlenOak,Canton,650,I,1,6-4,18.4449
Lorain (Lorain),Lorain,Lorain,894,I,1,8-2,16.5187
Jackson (Massillon),Jackson,Massillon,764,I,1,5-5,14.7187
John Marshall (Cleveland),John Marshall,Cleveland,792,I,1,4-5,8.5811
St Ignatius (Cleveland),St Ignatius,Cleveland,1354,I,1,1-8,5.8966
Strongsville (Strongsville),Strongsville,Strongsville,1498,I,1,3-7,5.4359
Brunswick (Brunswick),Brunswick,Brunswick,268,I,1,3-7,5.0313
Euclid (Euclid),Euclid,Euclid,540,I,1,1-9,3.3304
Elyria (Elyria),Elyria,Elyria,532,I,1,1-9,2.35
Normandy (Parma),Normandy,Parma,1118,I,1,1-8,1.8889
Stow-Munroe Falls (Stow),Stow-Munroe Falls,Stow,1492,I,1,1-9,1.2122
Olentangy (Lewis Center),Olentangy,Lewis Center,1202,I,2,9-1,34.1
Olentangy Berlin (Delaware),Olentangy Berlin,Delaware,1201,I,2,9-1,31.3
Findlay (Findlay),Findlay,Findlay,586,I,2,8-2,28.85
Centerville (Centerville),Centerville,Centerville,336,I,2,8-2,26.65
Wayne (Huber Heights),Wayne,Huber Heights,1638,I,2,7-3,25.95
Dublin Coffman (Dublin),Dublin Coffman,Dublin,474,I,2,7-3,25.9
Whitmer (Toledo),Whitmer,Toledo,1704,I,2,7-3,24.05
Delaware Hayes (Delaware),Delaware Hayes,Delaware,704,I,2,8-2,20.85
Miamisburg (Miamisburg),Miamisburg,Miamisburg,1020,I,2,7-3,18.2
Perrysburg (Perrysburg),Perrysburg,Perrysburg,1248,I,2,7-3,18.1
Kettering Fairmont (Kettering),Kettering Fairmont,Kettering,807,I,2,5-5,15.95
Springfield (Springfield),Springfield,Springfield,1480,I,2,5-5,14.2825
Olentangy Orange (Lewis Center),Olentangy Orange,Lewis Center,1211,I,2,4-6,13.9
Olentangy Liberty (Powell),Olentangy Liberty,Powell,1203,I,2,3-7,11.6975
Marysville (Marysville),Marysville,Marysville,970,I,2,4-6,10.8
Dublin Jerome (Dublin),Dublin Jerome,Dublin,486,I,2,3-7,9.45
Beavercreek (Beavercreek),Beavercreek,Beavercreek,178,I,2,2-8,2.7167
Gahanna Lincoln (Gahanna),Gahanna Lincoln,Gahanna,876,I,3,10-0,34.05
Hilliard Bradley (Hilliard),Hilliard Bradley,Hilliard,713,I,3,9-1,32.9
Pickerington North (Pickerington),Pickerington North,Pickerington,1255,I,3,9-1,30.2949
Upper Arlington (Upper Arlington),Upper Arlington,Upper Arlington,1572,I,3,7-3,23.5
Pickerington Central (Pickerington),Pickerington Central,Pickerington,1254,I,3,7-3,22.25
Hilliard Darby (Hilliard),Hilliard Darby,Hilliard,717,I,3,5-5,19.4
Westerville North (Westerville),Westerville North,Westerville,1672,I,3,8-2,19.25
Hilliard Davidson (Hilliard),Hilliard Davidson,Hilliard,716,I,3,5-5,13.75
Grove City (Grove City),Grove City,Grove City,680,I,3,5-5,13.2
Lancaster (Lancaster),Lancaster,Lancaster,838,I,3,5-5,12.1
Groveport Madison (Groveport),Groveport Madison,Groveport,682,I,3,6-4,11.9
New Albany (New Albany),New Albany,New Albany,1086,I,3,4-6,9.3
Thomas Worthington (Worthington),Thomas Worthington,Worthington,1738,I,3,5-5,9.05
Westerville Central (Westerville),Westerville Central,Westerville,1671,I,3,2-8,5.05
Newark (Newark),Newark,Newark,1088,I,3,2-8,2.85
Reynoldsburg (Reynoldsburg),Reynoldsburg,Reynoldsburg,1290,I,3,1-9,1.8
Westland (Galloway),Westland,Galloway,1686,I,3,1-9,1.75
Milford (Milford),Milford,Milford,1034,I,4,10-0,33.85
Princeton (Cincinnati),Princeton,Cincinnati,1274,I,4,10-0,31.1
Lakota West (West Chester),Lakota West,West Chester,837,I,4,8-2,24.0
St Xavier (Cincinnati),St Xavier,Cincinnati,1388,I,4,6-4,20.734
Archbishop Moeller (Cincinnati),Archbishop Moeller,Cincinnati,1056,I,4,6-4,19.5543
Elder (Cincinnati),Elder,Cincinnati,522,I,4,6-4,19.529
Hamilton (Hamilton),Hamilton,Hamilton,685,I,4,7-3,18.8
Lebanon (Lebanon),Lebanon,Lebanon,846,I,4,7-3,18.05
Mason (Mason),Mason,Mason,972,I,4,5-5,11.0
Sycamore (Cincinnati),Sycamore,Cincinnati,1508,I,4,5-5,11.0
Oak Hills (Cincinnati),Oak Hills,Cincinnati,1188,I,4,5-5,11.0
West Clermont (Cincinnati),West Clermont,Cincinnati,1677,I,4,4-6,8.1
Springboro (Springboro),Springboro,Springboro,1470,I,4,2-8,6.85
Western Hills (Cincinnati),Western Hills,Cincinnati,1666,I,4,4-6,5.9
Middletown (Middletown),Middletown,Middletown,1026,I,4,3-7,5.65
Fairfield (Fairfield),Fairfield,Fairfield,550,I,4,3-7,4.5
Lakota East (Liberty Township),Lakota East,Liberty Township,836,I,4,1-9,0.65
Colerain (Cincinnati),Colerain,Cincinnati,396,I,4,0-10,0.0
Walnut Hills (Cincinnati),Walnut Hills,Cincinnati,1610,I,4,0-10,0.0
Archbishop Hoban (Akron),Archbishop Hoban,Akron,724,II,5,8-1,36.2987
Walsh Jesuit (Cuyahoga Falls),Walsh Jesuit,Cuyahoga Falls,1614,II,5,9-1,31.1447
Hudson (Hudson),Hudson,Hudson,740,II,5,7-2,26.6885
Riverside (Painesville),Riverside,Painesville,1312,II,5,8-2,24.55
Nordonia (Macedonia),Nordonia,Macedonia,1116,II,5,8-2,22.401
