name,school,city,school_id,division,region,record,harbin
St Vincent-St Mary (Akron),St Vincent-St Mary,Akron,1384,II,5,5-5,16.4354
John Hay (Cleveland),John Hay,Cleveland,790,II,5,5-4,14.1369
Barberton (Barberton),Barberton,Barberton,160,II,5,6-4,13.8582
Shaker Heights (Shaker Heights),Shaker Heights,Shaker Heights,1408,II,5,7-3,13.8449
Austintown-Fitch (Austintown),Austintown-Fitch,Austintown,148,II,5,6-3,13.654
Warren G Harding (Warren),Warren G Harding,Warren,692,II,5,4-6,11.2737
Twinsburg (Twinsburg),Twinsburg,Twinsburg,350,II,5,6-4,10.0141
Maple Heights (Maple Heights),Maple Heights,Maple Heights,944,II,5,5-5,9.4172
Benedictine (Cleveland),Benedictine,Cleveland,196,II,5,4-6,9.1478
Firestone (Akron),Firestone,Akron,592,II,5,5-5,8.0
Ellet (Akron),Ellet,Akron,528,II,5,3-7,7.9
Lakeside (Ashtabula),Lakeside,Ashtabula,140,II,5,4-6,6.9
Garfield Heights (Garfield Heights),Garfield Heights,Garfield Heights,632,II,5,4-6,6.7465
Mayfield (Mayfield),Mayfield,Mayfield,980,II,5,4-6,5.8204
North (Eastlake),North,Eastlake,1122,II,5,3-7,5.1
Brush (Lyndhurst),Brush,Lyndhurst,270,II,5,2-8,4.05
Solon (Solon),Solon,Solon,1428,II,5,1-8,3.2222
South (Willoughby),South,Willoughby,1440,II,5,1-9,1.7
Cuyahoga Falls (Cuyahoga Falls),Cuyahoga Falls,Cuyahoga Falls,444,II,5,2-8,1.6
Garfield (Akron),Garfield,Akron,801,II,5,2-8,1.6
North (Akron),North,Akron,1120,II,5,1-9,1.0
John Adams (Cleveland),John Adams,Cleveland,782,II,5,1-7,0.6875
Boardman (Youngstown),Boardman,Youngstown,238,II,5,1-9,0.55
Avon (Avon),Avon,Avon,150,II,6,10-0,37.5141
Anthony Wayne (Whitehouse),Anthony Wayne,Whitehouse,124,II,6,8-2,26.7
Highland (Medina),Highland,Medina,710,II,6,8-2,20.3571
Sylvania Southview (Sylvania),Sylvania Southview,Sylvania,1512,II,6,7-3,19.3
Olmsted Falls (Olmsted Falls),Olmsted Falls,Olmsted Falls,1204,II,6,7-3,18.7398
North Ridgeville (North Ridgeville),North Ridgeville,North Ridgeville,1152,II,6,7-3,18.55
Avon Lake (Avon Lake),Avon Lake,Avon Lake,152,II,6,6-4,16.3
Westlake (Westlake),Westlake,Westlake,1684,II,6,7-3,14.3592
Brecksville-Broadview Heights (Broadview Heights),Brecksville-Broadview Heights,Broadview Heights,248,II,6,5-5,11.9399
Fremont Ross (Fremont),Fremont Ross,Fremont,616,II,6,4-6,11.6
Valley Forge (Parma Heights),Valley Forge,Parma Heights,1588,II,6,4-6,11.0735
Clay (Oregon),Clay,Oregon,372,II,6,4-6,10.45
Rhodes (Cleveland),Rhodes,Cleveland,1292,II,6,5-4,10.1424
Midview (Grafton),Midview,Grafton,1030,II,6,4-6,9.7
Start (Toledo),Start,Toledo,1482,II,6,5-5,9.15
St John's Jesuit (Toledo),St John's Jesuit,Toledo,1360,II,6,4-6,7.4223
Lakewood (Lakewood),Lakewood,Lakewood,832,II,6,2-8,7.2224
Amherst Steele (Amherst),Amherst Steele,Amherst,1486,II,6,3-7,5.65
Sylvania Northview (Sylvania),Sylvania Northview,Sylvania,1510,II,6,2-8,5.2
Springfield (Holland),Springfield,Holland,1476,II,6,2-8,5.15
North Royalton (North Royalton),North Royalton,North Royalton,1154,II,6,1-9,3.3273
North Olmsted (North Olmsted),North Olmsted,North Olmsted,1146,II,6,2-8,3.0
Bowsher (Toledo),Bowsher,Toledo,244,II,6,2-8,2.25
Waite (Toledo),Waite,Toledo,1608,II,6,2-8,2.25
St Francis de Sales (Toledo),St Francis de Sales,Toledo,1350,II,6,1-9,0.45
Massillon Washington (Massillon),Massillon Washington,Massillon,1624,II,7,10-0,45.7555
Canal Winchester (Canal Winchester),Canal Winchester,Canal Winchester,302,II,7,9-1,30.7
Green (Uniontown),Green,Uniontown,670,II,7,7-3,25.2126
Lake (Uniontown),Lake,Uniontown,822,II,7,7-3,19.5025
Northland (Columbus),Northland,Columbus,1140,II,7,9-1,18.5
St Francis DeSales (Columbus),St Francis DeSales,Columbus,1348,II,7,5-5,16.7316
Independence (Columbus),Independence,Columbus,748,II,7,5-5,15.2
Briggs (Columbus),Briggs,Columbus,252,II,7,7-3,15.2
Westerville South (Westerville),Westerville South,Westerville,1674,II,7,6-4,15.15
Watkins Memorial (Pataskala),Watkins Memorial,Pataskala,1632,II,7,7-3,13.3455
Hoover (North Canton),Hoover,North Canton,730,II,7,4-5,12.1623
Big Walnut (Sunbury),Big Walnut,Sunbury,214,II,7,5-5,11.95
Perry (Massillon),Perry,Massillon,1244,II,7,4-6,10.1293
St Charles (Columbus),St Charles,Columbus,1342,II,7,5-5,10.0
Walnut Ridge (Columbus),Walnut Ridge,Columbus,1612,II,7,3-7,9.9323
Central Crossing (Grove City),Central Crossing,Grove City,345,II,7,4-6,7.75
Whetstone (Columbus),Whetstone,Columbus,1698,II,7,3-7,7.25
Logan (Logan),Logan,Logan,888,II,7,3-7,6.6
Teays Valley (Ashville),Teays Valley,Ashville,1526,II,7,4-6,6.05
Marion Harding (Marion),Marion Harding,Marion,690,II,7,3-7,5.6
Wooster (Wooster),Wooster,Wooster,1736,II,7,3-7,5.15
Mount Vernon (Mount Vernon),Mount Vernon,Mount Vernon,1078,II,7,2-8,4.45
Licking Heights (Pataskala),Licking Heights,Pataskala,868,II,7,2-8,3.7773
Franklin Heights (Columbus),Franklin Heights,Columbus,610,II,7,2-8,3.15
Dublin Scioto (Dublin),Dublin Scioto,Dublin,475,II,7,2-8,2.35
Mifflin (Columbus),Mifflin,Columbus,1032,II,7,2-8,2.25
West (Columbus),West,Columbus,1656,II,7,1-9,0.35
Worthington Kilbourne (Columbus),Worthington Kilbourne,Columbus,1741,II,7,0-10,0.0
Anderson (Cincinnati),Anderson,Cincinnati,118,II,8,9-1,29.0
Troy (Troy),Troy,Troy,1552,II,8,9-1,26.1096
Withrow (Cincinnati),Withrow,Cincinnati,1720,II,8,9-1,25.5
Northmont (Clayton),Northmont,Clayton,1142,II,8,6-4,21.0747
Harrison (Harrison),Harrison,Harrison,696,II,8,7-3,20.0101
Winton Woods (Cincinnati),Winton Woods,Cincinnati,1719,II,8,7-3,20.0
Lima Senior (Lima),Lima Senior,Lima,872,II,8,8-2,16.05
Loveland (Loveland),Loveland,Loveland,904,II,8,5-5,13.15
Kings (Kings Mills),Kings,Kings Mills,810,II,8,5-5,11.4
Xenia (Xenia),Xenia,Xenia,1746,II,8,5-5,10.35
La Salle (Cincinnati),La Salle,Cincinnati,842,II,8,4-6,9.8711
Sidney (Sidney),Sidney,Sidney,1422,II,8,5-5,9.8
Fairborn (Fairborn),Fairborn,Fairborn,548,II,8,4-6,7.55
Edgewood (Trenton),Edgewood,Trenton,516,II,8,4-6,7.25
Stebbins (Riverside),Stebbins,Riverside,1484,II,8,4-6,6.9
Turpin (Cincinnati),Turpin,Cincinnati,1554,II,8,3-7,5.8
Ross (Hamilton),Ross,Hamilton,1330,II,8,3-7,4.3
Piqua (Piqua),Piqua,Piqua,1258,II,8,2-8,4.1
Talawanda (Oxford),Talawanda,Oxford,1520,II,8,2-8,2.8
Little Miami (Morrow),Little Miami,Morrow,884,II,8,1-9,0.65
Belmont (Dayton),Belmont,Dayton,192,II,8,1-8,0.5556
Northwest (Cincinnati),Northwest,Cincinnati,1164,II,8,1-9,0.5
Ursuline (Youngstown),Ursuline,Youngstown,1580,III,9,10-0,34.6222
Geneva (Geneva),Geneva,Geneva,634,III,9,9-1,29.0449
Aurora (Aurora),Aurora,Aurora,146,III,9,9-1,28.55
Kenston (Chagrin Falls),Kenston,Chagrin Falls,802,III,9,9-1,26.55
Villa Angela-St Joseph (Cleveland),Villa Angela-St Joseph,Cleveland,1364,III,9,7-3,23.6396
Gilmour Academy (Gates Mills),Gilmour Academy,Gates Mills,642,III,9,8-2,22.4813
Chardon (Chardon),Chardon,Chardon,360,III,9,7-3,21.3449
East (Akron),East,Akron,478,III,9,8-2,19.7046
Canfield (Canfield),Canfield,Canfield,304,III,9,6-3,18.7797
Cuyahoga Valley Christian Academy (Cuyahoga Falls),Cuyahoga Valley Christian Academy,Cuyahoga Falls,448,III,9,8-2,18.0
Madison (Madison),Madison,Madison,922,III,9,8-2,16.85
University School (Hunting Valley),University School,Hunting Valley,1571,III,9,6-3,16.8352
Dover (Dover),Dover,Dover,472,III,9,6-4,15.6479
Alliance (Alliance),Alliance,Alliance,112,III,9,6-4,15.45
Hawken (Gates Mills),Hawken,Gates Mills,702,III,9,6-4,14.2636
New Philadelphia (New Philadelphia),New Philadelphia,New Philadelphia,1106,III,9,6-4,13.0
Bedford (Bedford),Bedford,Bedford,180,III,9,5-5,12.4965
Tallmadge (Tallmadge),Tallmadge,Tallmadge,1522,III,9,5-5,11.35
Chaney (Youngstown),Chaney,Youngstown,358,III,9,5-4,11.0114
Notre Dame-Cathedral Latin (Chardon),Notre Dame-Cathedral Latin,Chardon,1180,III,9,4-6,10.1788
Harvey (Painesville),Harvey,Painesville,698,III,9,5-5,9.75
West Geauga (Chesterland),West Geauga,Chesterland,1678,III,9,4-6,9.3
Marlington (Alliance),Marlington,Alliance,964,III,9,6-4,8.6163
Kent Roosevelt (Kent),Kent Roosevelt,Kent,1326,III,9,4-6,6.55
Louisville (Louisville),Louisville,Louisville,902,III,9,1-9,1.0551
Howland (Warren),Howland,Warren,736,III,9,0-10,0.0
Central Catholic (Toledo),Central Catholic,Toledo,342,III,10,10-0,34.3479
Norton (Norton),Norton,Norton,1158,III,10,10-0,27.7758
Tiffin Columbian (Tiffin),Tiffin Columbian,Tiffin,406,III,10,8-2,26.0682
Mansfield Senior (Mansfield),Mansfield Senior,Mansfield,940,III,10,8-2,24.652
Rocky River (Rocky River),Rocky River,Rocky River,1320,III,10,9-1,24.6408
Ontario (Ontario),Ontario,Ontario,1206,III,10,9-1,22.85
Buckeye (Medina),Buckeye,Medina,276,III,10,8-2,19.902
Bay (Bay Village),Bay,Bay Village,168,III,10,8-2,18.4816
Defiance (Defiance),Defiance,Defiance,464,III,10,7-3,17.6
Sandusky (Sandusky),Sandusky,Sandusky,1394,III,10,6-4,17.3914
Lutheran West (Rocky River),Lutheran West,Rocky River,914,III,10,7-3,14.6
Clyde (Clyde),Clyde,Clyde,392,III,10,5-5,12.5485
Lexington (Lexington),Lexington,Lexington,856,III,10,5-5,9.9
Ashland (Ashland),Ashland,Ashland,138,III,10,5-5,9.85
Revere (Richfield),Revere,Richfield,1288,III,10,5-5,9.35
Bowling Green (Bowling Green),Bowling Green,Bowling Green,242,III,10,5-5,8.4
Padua Franciscan (Parma),Padua Franciscan,Parma,1224,III,10,4-6,8.0
Maumee (Maumee),Maumee,Maumee,976,III,10,5-5,7.85
Cloverleaf (Lodi),Cloverleaf,Lodi,390,III,10,5-5,7.3
Norwalk (Norwalk),Norwalk,Norwalk,1160,III,10,3-7,6.9025
Scott (Toledo),Scott,Toledo,1398,III,10,5-5,6.75
Rogers (Toledo),Rogers,Toledo,1324,III,10,2-8,2.3
Madison Comprehensive (Mansfield),Madison Comprehensive,Mansfield,926,III,10,1-9,1.8
Copley (Copley),Copley,Copley,422,III,10,1-9,1.7
Rossford (Rossford),Rossford,Rossford,1332,III,10,1-9,1.55
Woodward (Toledo),Woodward,Toledo,1734,III,10,0-10,0.0
Bishop Watterson (Columbus),Bishop Watterson,Columbus,224,III,11,9-1,30.55
London (London),London,London,892,III,11,10-0,29.35
Granville (Granville),Granville,Granville,666,III,11,10-0,25.1
Jackson (Jackson),Jackson,Jackson,762,III,11,9-1,24.4965
Bloom-Carroll (Carroll),Bloom-Carroll,Carroll,232,III,11,8-2,23.949
Tri-Valley (Dresden),Tri-Valley,Dresden,1544,III,11,8-2,23.1
Bellefontaine (Bellefontaine),Bellefontaine,Bellefontaine,188,III,11,8-2,22.0
Hamilton Township (Columbus),Hamilton Township,Columbus,686,III,11,9-1,21.2
Miami Trace (Washington Court House),Miami Trace,Washington Court House,1022,III,11,6-4,15.95
John Glenn (New Concord),John Glenn,New Concord,788,III,11,8-2,14.2
Buckeye Valley (Delaware),Buckeye Valley,Delaware,286,III,11,5-5,11.35
Athens (The Plains),Athens,The Plains,144,III,11,6-4,11.1
Marietta (Marietta),Marietta,Marietta,956,III,11,5-5,10.5287
Bexley (Columbus),Bexley,Columbus,212,III,11,4-6,8.75
Beechcroft (Columbus),Beechcroft,Columbus,186,III,11,4-6,6.2
South (Columbus),South,Columbus,1436,III,11,4-6,6.0874
Whitehall-Yearling (Whitehall),Whitehall-Yearling,Whitehall,1700,III,11,1-9,2.8732
Centennial (Columbus),Centennial,Columbus,332,III,11,2-8,2.8
Chillicothe (Chillicothe),Chillicothe,Chillicothe,364,III,11,1-9,2.2162
Circleville (Circleville),Circleville,Circleville,370,III,11,1-9,1.85
Zanesville (Zanesville),Zanesville,Zanesville,1750,III,11,1-9,1.5
Linden McKinley (Columbus),Linden McKinley,Columbus,882,III,11,0-10,0.0
Badin (Hamilton),Badin,Hamilton,158,III,12,10-0,33.35
Tippecanoe (Tipp City),Tippecanoe,Tipp City,1534,III,12,8-2,22.6
Trotwood-Madison (Trotwood),Trotwood-Madison,Trotwood,1550,III,12,8-2,22.1804
Butler (Vandalia),Butler,Vandalia,292,III,12,8-2,22.1
Wapakoneta (Wapakoneta),Wapakoneta,Wapakoneta,1616,III,12,8-2,21.4
Celina (Celina),Celina,Celina,330,III,12,8-2,20.85
Mount Healthy (Cincinnati),Mount Healthy,Cincinnati,1074,III,12,8-2,19.0955
Wilmington (Wilmington),Wilmington,Wilmington,1714,III,12,8-2,18.0
Bellbrook (Bellbrook),Bellbrook,Bellbrook,184,III,12,7-3,16.55
Chaminade Julienne (Dayton),Chaminade Julienne,Dayton,352,III,12,6-4,14.0071
Hillsboro (Hillsboro),Hillsboro,Hillsboro,718,III,12,5-5,12.05
New Richmond (New Richmond),New Richmond,New Richmond,1108,III,12,5-5,10.45
Elida (Elida),Elida,Elida,526,III,12,5-5,9.35
Oakwood (Dayton),Oakwood,Dayton,1190,III,12,4-6,9.0
Western Brown (Mount Orab),Western Brown,Mount Orab,1664,III,12,3-7,8.25
Goshen (Goshen),Goshen,Goshen,658,III,12,3-7,5.15
Monroe (Monroe),Monroe,Monroe,1062,III,12,2-8,4.9
Tecumseh (New Carlisle),Tecumseh,New Carlisle,1528,III,12,2-8,4.6
Hughes (Cincinnati),Hughes,Cincinnati,742,III,12,3-7,4.3031
Thurgood Marshall (Dayton),Thurgood Marshall,Dayton,402,III,12,3-6,4.2765
Archbishop Carroll (Dayton),Archbishop Carroll,Dayton,320,III,12,2-8,4.0
Franklin (Franklin),Franklin,Franklin,608,III,12,2-8,3.4
Woodward (Cincinnati),Woodward,Cincinnati,1732,III,12,1-9,2.9753
Aiken (Cincinnati),Aiken,Cincinnati,106,III,12,2-8,2.8177
Meadowdale (Dayton),Meadowdale,Dayton,1002,III,12,3-7,2.6294
West Carrollton (West Carrollton),West Carrollton,West Carrollton,1660,III,12,2-8,2.3
Greenville (Greenville),Greenville,Greenville,678,III,12,0-10,0.0
Shawnee (Lima),Shawnee,Lima,1412,III,12,0-10,0.0
Canton South (Canton),Canton South,Canton,1432,IV,13,10-0,27.4
Lake Catholic (Mentor),Lake Catholic,Mentor,824,IV,13,8-2,25.3606
Poland Seminary (Poland),Poland Seminary,Poland,1264,IV,13,9-1,23.9439
West Branch (Beloit),West Branch,Beloit,1658,IV,13,9-1,22.5293
Streetsboro (Streetsboro),Streetsboro,Streetsboro,1496,IV,13,9-1,21.7697
Struthers (Struthers),Struthers,Struthers,1500,IV,13,7-3,19.9827
Niles McKinley (Niles),Niles McKinley,Niles,994,IV,13,6-4,14.5
Cardinal Mooney (Youngstown),Cardinal Mooney,Youngstown,310,IV,13,5-5,12.4459
Buchtel (Akron),Buchtel,Akron,274,IV,13,5-5,12.1924
Edgewood (Ashtabula),Edgewood,Ashtabula,514,IV,13,6-4,11.4
Girard (Girard),Girard,Girard,644,IV,13,5-5,11.25
Beaver Local (East Liverpool),Beaver Local,East Liverpool,176,IV,13,6-4,10.15
Woodridge (Peninsula),Woodridge,Peninsula,1724,IV,13,5-5,9.95
East Liverpool (East Liverpool),East Liverpool,East Liverpool,500,IV,13,6-4,8.1551
Field (Mogadore),Field,Mogadore,584,IV,13,4-6,7.8153
Northwest (Canal Fulton),Northwest,Canal Fulton,1162,IV,13,5-5,7.75
Holy Name (Parma Heights),Holy Name,Parma Heights,728,IV,13,4-6,7.7104
Hubbard (Hubbard),Hubbard,Hubbard,738,IV,13,4-6,6.4398
Warrensville Heights (Warrensville Heights),Warrensville Heights,Warrensville Heights,1620,IV,13,3-7,5.5889
Ravenna (Ravenna),Ravenna,Ravenna,1281,IV,13,3-7,4.0758
Orange (Pepper Pike),Orange,Pepper Pike,1208,IV,13,2-8,2.45
Lutheran East (Cleveland Heights),Lutheran East,Cleveland Heights,912,IV,13,2-8,1.5851
Youngstown East (Youngstown),Youngstown East,Youngstown,483,IV,13,2-7,1.1667
Coventry (Akron),Coventry,Akron,428,IV,13,1-9,0.5
Salem (Salem),Salem,Salem,1392,IV,13,1-9,0.5
Jefferson Area (Jefferson),Jefferson Area,Jefferson,774,IV,13,0-10,0.0
Minerva (Minerva),Minerva,Minerva,1046,IV,13,0-10,0.0
Springfield (Akron),Springfield,Akron,1472,IV,13,0-10,0.0
Perkins (Sandusky),Perkins,Sandusky,1240,IV,14,9-0,33.1667
Glenville (Cleveland),Glenville,Cleveland,652,IV,14,7-2,23.6463
Shelby (Shelby),Shelby,Shelby,1416,IV,14,8-2,23.4
West Holmes (Millersburg),West Holmes,Millersburg,1680,IV,14,8-2,20.75
Galion (Galion),Galion,Galion,620,IV,14,7-3,17.3
Van Wert (Van Wert),Van Wert,Van Wert,1596,IV,14,7-3,15.95
Bellevue (Bellevue),Bellevue,Bellevue,190,IV,14,5-5,13.9141
St Marys Memorial (St Marys),St Marys Memorial,St Marys,1012,IV,14,6-4,13.2
Wauseon (Wauseon),Wauseon,Wauseon,1634,IV,14,6-4,12.7
Napoleon (Napoleon),Napoleon,Napoleon,1080,IV,14,5-5,12.5
River Valley (Caledonia),River Valley,Caledonia,1314,IV,14,4-6,12.15
Firelands (Oberlin),Firelands,Oberlin,590,IV,14,6-4,10.202
Bryan (Bryan),Bryan,Bryan,272,IV,14,5-5,8.9
Cleveland Central Catholic (Cleveland),Cleveland Central Catholic,Cleveland,384,IV,14,4-6,6.6395
Bath (Lima),Bath,Lima,166,IV,14,4-6,6.5
Vermilion (Vermilion),Vermilion,Vermilion,1598,IV,14,3-7,5.65
Elyria Catholic (Elyria),Elyria Catholic,Elyria,534,IV,14,3-7,5.6409
Clear Fork (Bellville),Clear Fork,Bellville,378,IV,14,2-8,5.55
Upper Sandusky (Upper Sandusky),Upper Sandusky,Upper Sandusky,1574,IV,14,4-6,4.55
Kenton (Kenton),Kenton,Kenton,804,IV,14,3-7,3.95
Fostoria (Fostoria),Fostoria,Fostoria,606,IV,14,3-7,3.95
Benjamin Logan (Bellefontaine),Benjamin Logan,Bellefontaine,198,IV,14,1-9,1.95
Shaw (East Cleveland),Shaw,East Cleveland,1410,IV,14,0-9,0.0
Steubenville (Steubenville),Steubenville,Steubenville,1488,IV,15,9-1,28.8717
Sheridan (Thornville),Sheridan,Thornville,1420,IV,15,9-1,26.95
Bishop Hartley (Columbus),Bishop Hartley,Columbus,218,IV,15,8-2,26.3712
Logan Elm (Circleville),Logan Elm,Circleville,890,IV,15,9-1,25.5
Bishop Ready (Columbus),Bishop Ready,Columbus,220,IV,15,9-1,23.7404
St Clairsville (St Clairsville),St Clairsville,St Clairsville,1344,IV,15,8-2,20.7854
Gallia Academy (Gallipolis),Gallia Academy,Gallipolis,622,IV,15,8-2,18.548
East (Columbus),East,Columbus,482,IV,15,8-2,18.1869
Licking Valley (Newark),Licking Valley,Newark,870,IV,15,7-3,18.1408
Vinton County (McArthur),Vinton County,McArthur,1604,IV,15,9-1,17.5843
Marion-Franklin (Columbus),Marion-Franklin,Columbus,962,IV,15,6-4,17.25
Jonathan Alder (Plain City),Jonathan Alder,Plain City,796,IV,15,7-3,15.95
Indian Valley (Gnadenhutten),Indian Valley,Gnadenhutten,758,IV,15,7-3,15.8
Philo (Duncan Falls),Philo,Duncan Falls,1252,IV,15,5-5,12.2
Morgan (McConnelsville),Morgan,McConnelsville,1068,IV,15,6-4,11.2
Carrollton (Carrollton),Carrollton,Carrollton,322,IV,15,6-4,11.2
Johnstown (Johnstown),Johnstown,Johnstown,794,IV,15,5-5,10.2
Fairfield Union (Lancaster),Fairfield Union,Lancaster,554,IV,15,6-4,10.2
Maysville (Zanesville),Maysville,Zanesville,982,IV,15,4-6,6.7
Warren (Vincent),Warren,Vincent,1618,IV,15,4-6,5.1833
Claymont (Uhrichsville),Claymont,Uhrichsville,376,IV,15,3-7,5.1245
Lakewood (Hebron),Lakewood,Hebron,830,IV,15,2-8,3.55
KIPP Columbus (Columbus),KIPP Columbus,Columbus,9592,IV,15,2-8,3.4227
Indian Creek (Wintersville),Indian Creek,Wintersville,751,IV,15,2-8,2.8388
Buckeye Local (Rayland),Buckeye Local,Rayland,282,IV,15,1-9,0.9188
Cambridge (Cambridge),Cambridge,Cambridge,300,IV,15,0-10,0.0
River View (Warsaw),River View,Warsaw,1316,IV,15,0-10,0.0
Clinton-Massie (Clarksville),Clinton-Massie,Clarksville,388,IV,16,10-0,35.95
Unioto (Chillicothe),Unioto,Chillicothe,1568,IV,16,9-1,22.3
