week,date,time,away,home,neutral,away_state,home_state
3,2026-09-04,7pm,Avon (Avon),Upper Arlington (Upper Arlington),0,,
3,2026-09-04,7pm,Avon Lake (Avon Lake),Highland (Medina),0,,
3,2026-09-04,7pm,Ayersville (Defiance),Toledo Christian (Toledo),0,,
3,2026-09-04,7pm,Badin (Hamilton),Edgewood (Trenton),0,,
3,2026-09-04,7pm,Batavia (Batavia),Kenton Ridge (Springfield),0,,
3,2026-09-04,7pm,Bay (Bay Village),Firelands (Oberlin),0,,
3,2026-09-04,7pm,Beachwood (Beachwood),Vanlue (Vanlue),0,,
3,2026-09-04,7:30pm,Beaver Local (East Liverpool),St Clairsville (St Clairsville),0,,
3,2026-09-04,7pm,Bedford (Bedford),Padua Franciscan (Parma),0,,
3,2026-09-04,7pm,Bellaire (Bellaire),Barnesville (Barnesville),0,,
3,2026-09-04,7pm,Beechcroft (Columbus),Maple Heights (Maple Heights),0,,
3,2026-09-04,7pm,Bellevue (Bellevue),Shelby (Shelby),0,,
3,2026-09-04,7pm,Belpre (Belpre),Frontier (New Matamoras),0,,
3,2026-09-04,7pm,Benedictine (Cleveland),Lutheran West (Rocky River),0,,
3,2026-09-04,7pm,Berkshire (Burton),Cardinal (Middlefield),0,,
3,2026-09-04,7pm,Berne Union (Sugar Grove),Symmes Valley (Willow Wood),0,,
3,2026-09-04,7pm,Bexley (Columbus),Mifflin (Columbus),0,,
3,2026-09-04,7pm,Big Walnut (Sunbury),Reynoldsburg (Reynoldsburg),0,,
3,2026-09-04,7pm,Bishop Hartley (Columbus),Chaminade Julienne (Dayton),0,,
3,2026-09-04,7pm,Bishop Ready (Columbus),Galion (Galion),0,,
3,2026-09-04,7pm,Blanchester (Blanchester),Madison (Middletown),0,,
3,2026-09-04,7pm,Boardman (Youngstown),Liberty (Youngstown),0,,
3,2026-09-04,7pm,Bowling Green (Bowling Green),Clay (Oregon),0,,
3,2026-09-04,7pm,Bowsher (Toledo),Bluffton (Bluffton),0,,
3,2026-09-04,7pm,Brecksville-Broadview Heights (Broadview Heights),Berea-Midpark (Berea),0,,
3,2026-09-04,7pm,Bridgeport (Bridgeport),Southern (Salineville),0,,
3,2026-09-04,7pm,Brookfield (Brookfield),Toronto (Toronto),0,,
3,2026-09-04,7pm,Brookville (Brookville),Northridge (Dayton),0,,
3,2026-09-04,7pm,Brush (Lyndhurst),South (Willoughby),0,,
3,2026-09-04,7pm,Buckeye (Medina),Keystone (La Grange),0,,
3,2026-09-04,7pm,Buckeye Central (New Washington),Mohawk (Sycamore),0,,
3,2026-09-04,7pm,Buckeye Local (Rayland),Shadyside (Shadyside),0,,
3,2026-09-04,7pm,Buckeye Trail (Lore City),Newark Catholic (Newark),0,,
3,2026-09-04,7pm,Bucyrus (Bucyrus),Willard (Willard),0,,
3,2026-09-04,7pm,Butler (Vandalia),Xenia (Xenia),0,,
3,2026-09-04,7pm,Canfield (Canfield),Cardinal Mooney (Youngstown),0,,
3,2026-09-04,7pm,Carey (Carey),Lucas (Lucas),0,,
3,2026-09-04,7pm,Carlisle (Carlisle),Bethel (Tipp City),0,,
3,2026-09-04,7pm,Catholic Central (Springfield),Triad (North Lewisburg),0,,
3,2026-09-04,7pm,Catholic Central (Steubenville),Bishop Rosecrans (Zanesville),0,,
3,2026-09-04,7pm,Cedarville (Cedarville),West Liberty-Salem (West Liberty),0,,
3,2026-09-04,7pm,Celina (Celina),St Marys Memorial (St Marys),0,,
3,2026-09-04,7pm,Centennial (Columbus),West (Columbus),0,,
3,2026-09-04,7pm,Central Catholic (Toledo),Walsh Jesuit (Cuyahoga Falls),0,,
3,2026-09-04,7pm,Champion (Warren),Campbell Memorial (Campbell),0,,
3,2026-09-04,7pm,Chardon (Chardon),McDowell (Erie),0,,PA
3,2026-09-04,7pm,Chillicothe (Chillicothe),Western Brown (Mount Orab),0,,
3,2026-09-04,7pm,Cincinnati Hills Christian Academy (Cincinnati),Madeira (Cincinnati),0,,
3,2026-09-04,7pm,Claymont (Uhrichsville),Fairless (Brewster),0,,
3,2026-09-04,7pm,Clermont Northeastern (Batavia),Holy Cross (Covington),0,,KY
3,2026-09-04,7pm,Cloverleaf (Seville),Carrollton (Carrollton),0,,
3,2026-09-04,7pm,Clyde (Clyde),Ashland (Ashland),0,,
3,2026-09-04,7pm,Coldwater (Coldwater),Fort Recovery (Fort Recovery),0,,
3,2026-09-04,7pm,Colerain (Cincinnati),Princeton (Cincinnati),0,,
3,2026-09-04,7pm,Thurgood Marshall (Dayton),Washington (Washington Court House),0,,
3,2026-09-04,7pm,Columbia (Columbia Station),Manchester (New Franklin),0,,
3,2026-09-04,7pm,Columbus Academy (Gahanna),Heath (Heath),0,,
3,2026-09-04,7pm,Conneaut (Conneaut),Edgewood (Ashtabula),0,,
3,2026-09-04,7pm,Conotton Valley (Bowerston),Newcomerstown (Newcomerstown),0,,
3,2026-09-04,7pm,Crestview (Ashland),Independence (Independence),0,,
3,2026-09-04,7pm,Crestwood (Mantua),Mineral Ridge (Mineral Ridge),0,,
3,2026-09-04,7pm,Crooksville (Crooksville),Alexander (Albany),0,,
3,2026-09-04,7pm,Cuyahoga Falls (Cuyahoga Falls),Southeast (Ravenna),0,,
3,2026-09-04,7pm,Cuyahoga Valley Christian Academy (Cuyahoga Falls),Woodridge (Peninsula),0,,
3,2026-09-04,7pm,Dalton (Dalton),Mogadore (Mogadore),0,,
3,2026-09-04,7pm,Danville (Danville),Monroeville (Monroeville),0,,
3,2026-09-04,7pm,Dayton Christian (Miamisburg),Troy Christian (Troy),0,,
3,2026-09-04,7pm,Deer Park (Cincinnati),Miami Valley Christian Academy (Cincinnati),0,,
3,2026-09-04,7pm,Defiance (Defiance),Wapakoneta (Wapakoneta),0,,
3,2026-09-04,7pm,Delta (Delta),Gibsonburg (Gibsonburg),0,,
3,2026-09-04,7pm,East (Akron),Canton South (Canton),0,,
3,2026-09-04,7pm,Youngstown (Youngstown),South Range (Canfield),0,,
3,2026-09-04,7pm,Dublin Jerome (Dublin),Dublin Coffman (Dublin),0,,
3,2026-09-04,7pm,East Clinton (Sabina),Fairfield Christian Academy (Lancaster),0,,
3,2026-09-04,7pm,East Liverpool (East Liverpool),Salem (Salem),0,,
3,2026-09-04,7pm,Eastwood (Pemberville),Wauseon (Wauseon),0,,
3,2026-09-04,7pm,Eaton (Eaton),Talawanda (Oxford),0,,
3,2026-09-04,7pm,Edison (Milan),Start (Toledo),0,,
3,2026-09-04,7pm,Elyria (Elyria),Barberton (Barberton),0,,
3,2026-09-04,7pm,Euclid (Euclid),St John's Jesuit (Toledo),0,,
3,2026-09-04,7pm,Fairbanks (Milford Center),Madison-Plains (London),0,,
3,2026-09-04,6pm,Fairland (Proctorville),Tri-Cities Christian Academy (Kingsport),1,,TN
3,2026-09-04,7pm,Fairport Harding (Fairport Harbor),Grand Valley (Orwell),0,,
3,2026-09-04,7pm,Fairview (Fairview Park),Orange (Pepper Pike),0,,
3,2026-09-04,7pm,Fairview (Sherwood),Bryan (Bryan),0,,
3,2026-09-04,7pm,Fayetteville (Fayetteville),Southeastern (Chillicothe),0,,
3,2026-09-04,7pm,Federal Hocking (Stewart),Millersport (Millersport),0,,
3,2026-09-04,7pm,Bishop Fenwick (Franklin),Franklin (Franklin),0,,
3,2026-09-04,7pm,Findlay (Findlay),Springfield (Holland),0,,
3,2026-09-04,7pm,Fisher Catholic (Lancaster),Notre Dame (Portsmouth),0,,
3,2026-09-04,7pm,Fort Frye (Beverly),Wheeling Central Catholic (Wheeling),0,,WV
3,2026-09-04,7pm,Fort Loramie (Fort Loramie),Lehman Catholic (Sidney),0,,
3,2026-09-04,7pm,Garaway (Sugarcreek),Norwayne (Creston),0,,
3,2026-09-04,7pm,Garfield (Garrettsville),Springfield (New Middletown),0,,
3,2026-09-04,7pm,Garfield Heights (Garfield Heights),Hoover (North Canton),0,,
3,2026-09-04,7pm,Gilmour Academy (Gates Mills),Hawken (Gates Mills),0,,
3,2026-09-04,7pm,Graham Local (St Paris),Covington (Covington),0,,
3,2026-09-04,7pm,Green (Franklin Furnace),Manchester (Manchester),0,,
3,2026-09-04,7pm,Greenon (Enon),West Jefferson (West Jefferson),0,,
3,2026-09-04,7pm,Grove City (Grove City),Hilliard Bradley (Hilliard),0,,
3,2026-09-04,7pm,Grove City Christian (Grove City),Mount Gilead (Mount Gilead),0,,
3,2026-09-04,7pm,Marion Harding (Marion),Bellefontaine (Bellefontaine),0,,
3,2026-09-04,7pm,Warren G Harding (Warren),Perry (Massillon),0,,
3,2026-09-04,7pm,Harrison (Harrison),Beavercreek (Beavercreek),0,,
3,2026-09-04,7pm,Delaware Hayes (Delaware),Thomas Worthington (Worthington),0,,
3,2026-09-04,7pm,Hicksville (Hicksville),Edon (Edon),0,,
3,2026-09-04,7pm,Highland (Marengo),Mount Vernon (Mount Vernon),0,,
3,2026-09-04,7pm,Hillsboro (Hillsboro),Waynesville (Waynesville),0,,
3,2026-09-04,7pm,Hillsdale (Jeromesville),Loudonville (Loudonville),0,,
3,2026-09-04,7pm,Hilltop (West Unity),Antwerp (Antwerp),0,,
3,2026-09-04,7pm,Holy Name (Parma Heights),Madison (Madison),0,,
3,2026-09-04,7pm,Hopewell-Loudon (Bascom),Colonel Crawford (North Robinson),0,,
3,2026-09-04,7pm,Howland (Warren),Shaw (East Cleveland),0,,
3,2026-09-04,7pm,Huron (Huron),Genoa Area (Genoa),0,,
3,2026-09-04,7pm,Independence (Columbus),Hamilton Township (Columbus),0,,
3,2026-09-04,7pm,Indian Creek (Wintersville),Union Local (Belmont),0,,
3,2026-09-04,7pm,Indian Lake (Lewistown),Allen East (Harrod),0,,
3,2026-09-04,7pm,Indian Valley (Gnadenhutten),New Philadelphia (New Philadelphia),0,,
3,2026-09-04,7pm,Jackson (Jackson),Wheelersburg (Wheelersburg),0,,
3,2026-09-04,7pm,Jefferson (Delphos),Paulding (Paulding),0,,
3,2026-09-04,7pm,John F Kennedy (Warren),Hubbard (Hubbard),0,,
3,2026-09-04,7pm,Johnstown (Johnstown),Granville (Granville),0,,
3,2026-09-04,7pm,Jonathan Alder (Plain City),Bloom-Carroll (Carroll),0,,
3,2026-09-04,7pm,Garfield (Akron),Copley (Copley),0,,
3,2026-09-04,7pm,Kenston (Chagrin Falls),Notre Dame-Cathedral Latin (Chardon),0,,
3,2026-09-04,7pm,Kenton (Kenton),Ottawa-Glandorf (Ottawa),0,,
3,2026-09-04,7pm,Kings (Kings Mills),Loveland (Loveland),0,,
3,2026-09-04,7pm,Kirtland (Kirtland),Perry (Perry),0,,
3,2026-09-04,7pm,LaBrae (Leavittsburg),McDonald (McDonald),0,,
3,2026-09-04,7pm,Lake (Millbury),Evergreen (Metamora),0,,
3,2026-09-04,7pm,Lake (Uniontown),Rocky River (Rocky River),0,,
3,2026-09-04,7pm,Lakeview (Cortland),Jefferson Area (Jefferson),0,,
3,2026-09-04,7pm,Lakewood (Hebron),Fairfield Union (Lancaster),0,,
3,2026-09-04,7pm,Lakewood (Lakewood),Harvey (Painesville),0,,
3,2026-09-04,7pm,Lakota (Kansas),Arcadia (Arcadia),0,,
3,2026-09-04,7pm,Lakota East (Liberty Township),Oak Hills (Cincinnati),0,,
3,2026-09-04,7pm,Lakota West (West Chester),Mason (Mason),0,,
3,2026-09-04,7pm,Lancaster (Lancaster),Marysville (Marysville),0,,
3,2026-09-04,7pm,La Salle (Cincinnati),Kettering Fairmont (Kettering),0,,
3,2026-09-04,7pm,Lebanon (Lebanon),West Clermont (Cincinnati),0,,
3,2026-09-04,7pm,Leipsic (Leipsic),Riverdale (Mt Blanchard),0,,
3,2026-09-04,7pm,Lexington (Lexington),Clear Fork (Bellville),0,,
3,2026-09-04,7pm,Liberty-Benton (Findlay),Sylvania Northview (Sylvania),0,,
3,2026-09-04,7pm,Liberty Center (Liberty Center),Otsego (Tontogany),0,,
3,2026-09-04,7pm,Liberty Union (Baltimore),Meigs (Pomeroy),0,,
3,2026-09-04,7pm,Licking Heights (Pataskala),Sheridan (Thornville),0,,
3,2026-09-04,7pm,Lima Senior (Lima),Benjamin Logan (Bellefontaine),0,,
3,2026-09-04,7pm,Lima Central Catholic (Lima),Urbana (Urbana),0,,
3,2026-09-04,7pm,Gahanna Lincoln (Gahanna),Olentangy Liberty (Powell),0,,
3,2026-09-04,7pm,Linden McKinley (Columbus),Eastmoor Academy (Columbus),0,,
3,2026-09-04,7pm,Little Miami (Morrow),Anderson (Cincinnati),0,,
3,2026-09-04,7pm,London (London),Franklin Heights (Columbus),0,,
3,2026-09-04,7pm,Lorain (Lorain),Amherst Steele (Amherst),0,,
3,2026-09-04,7pm,Louisville (Louisville),Dover (Dover),0,,
3,2026-09-04,7pm,Lowellville (Lowellville),East Canton (East Canton),0,,
3,2026-09-04,7pm,Malvern (Malvern),East Palestine (East Palestine),0,,
3,2026-09-04,7pm,Margaretta (Castalia),Brookside (Sheffield),0,,
3,2026-09-04,7pm,Mariemont (Cincinnati),Williamsburg (Williamsburg),0,,
3,2026-09-04,7pm,Marietta (Marietta),Athens (The Plains),0,,
3,2026-09-04,7pm,Marion-Franklin (Columbus),Groveport Madison (Groveport),0,,
3,2026-09-04,7pm,Mathews (Vienna),Newton Falls (Newton Falls),0,,
3,2026-09-04,7pm,Maumee (Maumee),Waite (Toledo),0,,
3,2026-09-04,7pm,Mayfield (Mayfield),Shaker Heights (Shaker Heights),0,,
3,2026-09-04,7pm,Maysville (Zanesville),West Muskingum (Zanesville),0,,
3,2026-09-04,7pm,McComb (McComb),Elmwood (Bloomdale),0,,
3,2026-09-04,7pm,Niles McKinley (Niles),Ravenna (Ravenna),0,,
3,2026-09-04,7pm,Archbishop McNicholas (Cincinnati),Ironton (Ironton),0,,
3,2026-09-04,7pm,Meadowbrook (Byesville),Cambridge (Cambridge),0,,
3,2026-09-04,7pm,Meadowdale (Dayton),Purcell Marian (Cincinnati),0,,
3,2026-09-04,7pm,Mechanicsburg (Mechanicsburg),Southeastern Local (South Charleston),0,,
3,2026-09-04,7pm,Medina (Medina),Brunswick (Brunswick),0,,
3,2026-09-04,7pm,Mentor (Mentor),St Ignatius (Cleveland),0,,
3,2026-09-04,7pm,Miami East (Casstown),Northwestern (Springfield),0,,
3,2026-09-04,7:30pm,Miamisburg (Miamisburg),Hilliard Davidson (Hilliard),0,,
3,2026-09-04,7pm,Miami Trace (Washington Court House),Logan Elm (Circleville),0,,
3,2026-09-04,7pm,Middletown (Middletown),Fairfield (Fairfield),0,,
3,2026-09-04,7pm,Midview (Grafton),Elyria Catholic (Elyria),0,,
3,2026-09-04,7pm,Milford (Milford),Winton Woods (Cincinnati),0,,
3,2026-09-04,7pm,Miller (Corning),Southern (Racine),0,,
3,2026-09-04,7pm,Minford (Minford),Eastern (Beaver),0,,
3,2026-09-04,7pm,Minster (Minster),New Bremen (New Bremen),0,,
3,2026-09-04,7pm,Mississinawa Valley (Union City),Bradford (Bradford),0,,
3,2026-09-04,7pm,Archbishop Moeller (Cincinnati),Trinity (Louisville),0,,KY
3,2026-09-04,7pm,Montpelier (Montpelier),Edgerton (Edgerton),0,,
3,2026-09-04,7pm,Napoleon (Napoleon),Anthony Wayne (Whitehouse),0,,
3,2026-09-04,7pm,Nelsonville-York (Nelsonville),Dawson-Bryant (Coal Grove),0,,
3,2026-09-04,7pm,New Albany (New Albany),Dublin Scioto (Dublin),0,,
3,2026-09-04,7pm,New Lexington (New Lexington),John Glenn (New Concord),0,,
3,2026-09-04,7pm,New London (New London),Waynedale (Apple Creek),0,,
3,2026-09-04,7pm,New Richmond (New Richmond),Indian Hill (Cincinnati),0,,
3,2026-09-04,7pm,Normandy (Parma),Geneva (Geneva),0,,
3,2026-09-04,6pm,North Central (Pioneer),Cuyahoga Heights (Cuyahoga Heights),0,,
3,2026-09-04,7pm,North College Hill (Cincinnati),Bethel-Tate (Bethel),0,,
3,2026-09-04,7pm,Northeastern (South Vienna),Greeneview (Jamestown),0,,
3,2026-09-04,7pm,North Olmsted (North Olmsted),Green (Uniontown),0,,
3,2026-09-04,7pm,Northridge (Johnstown),Grandview Heights (Columbus),0,,
3,2026-09-04,7pm,North Royalton (North Royalton),North Ridgeville (North Ridgeville),0,,
3,2026-09-04,7pm,North Union (Richwood),Northmor (Galion),0,,
3,2026-09-04,7pm,Norton (Norton),Marlington (Alliance),0,,
3,2026-09-04,7pm,Norwalk (Norwalk),Madison Comprehensive (Mansfield),0,,
3,2026-09-04,7pm,Northwest (Canal Fulton),Canton Central Catholic (Canton),0,,
3,2026-09-04,7pm,Northwest (McDermott),Chesapeake (Chesapeake),0,,
3,2026-09-04,7pm,Northwood (Northwood),St Paul (Norwalk),0,,
3,2026-09-04,7pm,Oak Harbor (Oak Harbor),Port Clinton (Port Clinton),0,,
3,2026-09-04,7pm,Oak Hill (Oak Hill),River Valley (Bidwell),0,,
3,2026-09-04,7pm,Oakwood (Dayton),Milton-Union (West Milton),0,,
3,2026-09-04,7pm,Olentangy Berlin (Delaware),Centerville (Centerville),0,,
3,2026-09-04,7pm,Ontario (Ontario),Tiffin Columbian (Tiffin),0,,
3,2026-09-04,7pm,Olentangy Orange (Lewis Center),Olentangy (Lewis Center),0,,
3,2026-09-04,7pm,Paint Valley (Bainbridge),McClain (Greenfield),0,,
3,2026-09-04,7pm,Pandora-Gilboa (Pandora),Van Buren (Van Buren),0,,
3,2026-09-04,7pm,Patrick Henry (Hamler),Columbus Grove (Columbus Grove),0,,
3,2026-09-04,7pm,Ponitz Tech (Dayton),Archbishop Carroll (Dayton),0,,
3,2026-09-04,7pm,Perry (Lima),Cory-Rawson (Rawson),0,,
3,2026-09-04,7pm,Perrysburg (Perrysburg),Fremont Ross (Fremont),0,,
3,2026-09-04,7pm,Philo (Duncan Falls),Morgan (McConnelsville),0,,
3,2026-09-04,7pm,Pickerington North (Pickerington),Pickerington Central (Pickerington),0,,
3,2026-09-04,7pm,Piqua (Piqua),Greenville (Greenville),0,,
3,2026-09-04,7pm,Poland Seminary (Poland),Field (Mogadore),0,,
3,2026-09-04,7:30pm,Portsmouth (Portsmouth),Greenup County (Greenup),0,,KY
3,2026-09-04,7pm,Portsmouth West (West Portsmouth),Huntington (Chillicothe),0,,
3,2026-09-04,7pm,Preble Shawnee (Camden),Twin Valley South (West Alexandria),0,,
3,2026-09-04,7pm,Rhodes (Cleveland),Lakeside (Ashtabula),0,,
3,2026-09-04,7pm,Richmond Heights (Richmond Heights),Brooklyn (Brooklyn),0,,
3,2026-09-04,7pm,Ridgedale (Morral),North Baltimore (North Baltimore),0,,
3,2026-09-04,7pm,Ridgemont (Mt Victory),Hardin Northern (Dola),0,,
3,2026-09-04,7pm,Ridgewood (West Lafayette),Coshocton (Coshocton),0,,
3,2026-09-04,7pm,River Valley (Caledonia),Buckeye Valley (Delaware),0,,
3,2026-09-04,7pm,River View (Warsaw),Chippewa (Doylestown),0,,
3,2026-09-04,7pm,Rogers (Toledo),Rossford (Rossford),0,,
3,2026-09-04,7pm,Kent Roosevelt (Kent),Ellet (Akron),0,,
3,2026-09-04,7pm,Ross (Hamilton),Northwest (Cincinnati),0,,
3,2026-09-04,6:30pm,St Bernard-Elmwood Place (St Bernard),Shroder (Cincinnati),0,,
3,2026-09-04,7pm,St Charles (Columbus),Westerville South (Westerville),0,,
3,2026-09-04,7pm,St Edward (Lakewood),Wayne (Huber Heights),0,,
3,2026-09-04,7pm,St Francis DeSales (Columbus),East (Columbus),0,,
3,2026-09-04,7pm,St Francis de Sales (Toledo),Perkins (Sandusky),0,,
3,2026-09-04,7pm,St John's (Delphos),Marion Local (Maria Stein),0,,
3,2026-09-04,7pm,Villa Angela-St Joseph (Cleveland),Nordonia (Macedonia),0,,
3,2026-09-04,7pm,St Vincent-St Mary (Akron),Hudson (Hudson),0,,
3,2026-09-04,7pm,Sandusky (Sandusky),Canton McKinley (Canton),0,,
3,2026-09-04,7pm,Sandy Valley (Magnolia),Minerva (Minerva),0,,
3,2026-09-04,4pm,Scott (Toledo),John Hay (Cleveland),0,,
3,2026-09-04,7pm,Seneca East (Attica),Calvert (Tiffin),0,,
3,2026-09-04,7pm,Shawnee (Lima),Elida (Elida),0,,
3,2026-09-04,7pm,Shenandoah (Sarahsville),Waterford (Waterford),0,,
3,2026-09-04,7pm,Sidney (Sidney),Stebbins (Riverside),0,,
3,2026-09-04,7pm,Smithville (Smithville),Black River (Sullivan),0,,
3,2026-09-04,7pm,Solon (Solon),Twinsburg (Twinsburg),0,,
3,2026-09-04,7pm,South Central (Greenwich),Rittman (Rittman),0,,
3,2026-09-04,7pm,South Gallia (Crown City),Eastern (Reedsville),0,,
3,2026-09-04,7pm,South Point (South Point),Wellston (Wellston),0,,
3,2026-09-04,7pm,Spencerville (Spencerville),Riverside (De Graff),0,,
3,2026-09-04,6:30pm,Springboro (Springboro),Withrow (Cincinnati),0,,
3,2026-09-04,7pm,Springfield (Akron),Coventry (Coventry Twp),0,,
3,2026-09-04,7pm,Strasburg-Franklin (Strasburg),Harrison Central (Cadiz),0,,
3,2026-09-04,7pm,Streetsboro (Streetsboro),Alliance (Alliance),0,,
3,2026-09-04,7pm,Strongsville (Strongsville),Olmsted Falls (Olmsted Falls),0,,
3,2026-09-04,7pm,Struthers (Struthers),West Branch (Beloit),0,,
3,2026-09-04,7pm,Swanton (Swanton),Ottawa Hills (Toledo),0,,
3,2026-09-04,7pm,Sycamore (Cincinnati),Hamilton (Hamilton),0,,
3,2026-09-04,7pm,Tallmadge (Tallmadge),Aurora (Aurora),0,,
3,2026-09-04,7:30pm,Taylor (Cleves),Lawrenceburg (Lawrenceburg),0,,IN
3,2026-09-04,7pm,Teays Valley (Ashville),Licking Valley (Newark),0,,
3,2026-09-04,7pm,Tecumseh (New Carlisle),Shawnee (Springfield),0,,
