week,date,time,away,home,neutral,away_state,home_state
1,2026-08-22,1:30pm,North Oakland Bucks (club) (Auburn Hills),C4 Lions (club) (Middletown),0,MI,
2,2026-08-27,6pm,Dunbar (Dayton),Stivers (Dayton),0,,
2,2026-08-29,1pm,Eastmoor Academy (Columbus),Cincinnati College Prep (Cincinnati),0,,
2,2026-08-29,6pm,Fairport Harding (Fairport Harbor),St John School (Ashtabula),0,,
2,2026-08-29,12pm,Lorain (Lorain),Elyria (Elyria),0,,
2,2026-08-29,3pm,Millersport (Millersport),Gamble Montessori (Cincinnati),0,,
2,2026-08-29,12pm,Revere (Richfield),Garfield (Akron),0,,
2,2026-08-29,12pm,Rocky River (Rocky River),John Marshall (Cleveland),0,,
2,2026-08-29,6pm,St John's (Delphos),Lima Central Catholic (Lima),0,,
2,2026-08-29,3pm,Warrensville Heights (Warrensville Heights),John F Kennedy (Cleveland),0,,
2,2026-08-29,5pm,Peebles (club) (Peebles),Columbus Crusaders (club) (Columbus),0,,
2,2026-08-29,6pm,Expression Prep Academy (Huntington),North Adams (club) (Seaman),0,WV,
2,2026-08-29,6pm,Phelps,Shelby Valley (Pikeville),0,KY,KY
2,2026-08-29,8:30pm,Prestonsburg,Pikeville (Pikeville),0,KY,KY
2,2026-08-29,3:30pm,Farrell (Farrell),Clairton (Clairton),1,PA,PA
2,2026-08-29,6pm,DuBois,Erie (Erie),0,PA,PA
2,2026-08-29,12:05pm,Hickory (Hermitage),Westinghouse (Pittsburgh),1,PA,PA
2,2026-08-29,,Kennedy Catholic (Hermitage),Coventry Christian (Pottstown),0,PA,PA
2,2026-08-29,12pm,Imani Christian Academy (Pittsburgh),Football North (via Clarkson SS) (Mississauga),1,PA,ON
2,2026-08-29,,South Newton,Greenwood Christian,0,IN,IN
2,2026-08-29,4pm,Noblesville Lions (club) (Noblesville),Foxfire (Zanesville),0,IN,
2,2026-08-29,7pm,Tri-State King's Crusaders (club) (Harlan),St Joseph Central Catholic (Fremont),0,IN,
2,2026-08-29,,Kosciusko Thunder (club),Wabash,0,IN,IN
2,2026-08-29,,The St James Academy (Springfield),Lehi,0,VA,UT
2,2026-08-29,,Annapolis Area Christian (Annapolis),Hewlett Sports Academy (Waldorf),0,MD,MD
2,2026-08-29,4pm,Our Lady of Mount Carmel (Essex),Lutheran East (Cleveland Heights),0,MD,
2,2026-08-29,2:30pm,Mt Zion Prep (Lanham),St John's College (Washington),0,MD,DC
2,2026-08-29,7pm,Model Secondary School f/t Deaf (Washington),Indiana School for the Deaf,0,DC,IN
2,2026-08-29,4pm,Monsignor Farrell (Staten Island),Holy Spirit (Absecon),0,NY,NJ
2,2026-08-29,7pm,Mount St Michael Academy (Bronx),St Francis Prep (Fresh Meadows),0,NY,NY
2,2026-08-29,11am,The Hun School (Princeton),Skyridge (Lehi),0,NJ,UT
2,2026-08-29,6pm,Camden (Camden),Imhotep Charter (Philadelphia),0,NJ,PA
2,2026-08-29,1pm,Salem (Salem),Ironton (Ironton),0,NJ,
2,2026-08-29,,Cornerstone Christian (San Antonio),IMG Academy (Bradenton),0,TX,FL
2,2026-08-29,2pm,Bishop Gorman (Las Vegas),Christopher Columbus (Miami),0,NV,FL
2,2026-08-29,7pm,Cardinal Gibbons (Raleigh),W. A. Hough (Cornelius),1,NC,NC
2,2026-08-29,5am,Humphreys (Pyeongtaek),Kadena (Okinawa),0,SOUTH KOREA,JAPAN
2,2026-08-30,10:45am,Landmark Eagles (club) (Cincinnati),HSAA Angels (club) (Dallas),1,,TX
2,2026-08-30,1pm,Xaverian (Brooklyn),St John Catholic Prep (Buckeystown),0,NY,MD
3,2026-09-03,7pm,Africentric Early College (Columbus),Northland (Columbus),0,,
3,2026-09-03,6:30pm,Belmont (Dayton),South (Columbus),0,,
3,2026-09-03,7pm,Mapleton (Ashland),Crestline (Crestline),0,,
3,2026-09-03,7pm,Monroe Central (Woodsfield),Edison (Richmond),0,,
3,2026-09-03,6:30pm,Roger Bacon (St Bernard),Hughes (Cincinnati),0,,
3,2026-09-03,7pm,Stivers (Dayton),New Miami (Hamilton),0,,
3,2026-09-03,7pm,Adrian Lenawee Christian (Adrian),Colon,0,MI,MI
3,2026-09-03,7pm,Camden-Frontier (Camden),Tekonsha,0,MI,MI
3,2026-09-03,7pm,Dearborn Divine Child (Dearborn),Lake Fenton,0,MI,MI
3,2026-09-03,7pm,Grand Rapids Forest Hills Central,Portage Central (Portage),0,MI,MI
3,2026-09-03,7pm,North Adams-Jerome (North Adams),Athens,0,MI,MI
3,2026-09-03,7pm,Petersburg Summerfield (Petersburg),Detroit Northwestern,0,MI,MI
3,2026-09-03,7pm,Portage Northern,Muskegon Mona Shores (Muskegon),0,MI,MI
3,2026-09-03,7pm,Sand Creek (Sand Creek),Carson City-Crystal,0,MI,MI
3,2026-09-03,7pm,Bedford (Temperance),Ann Arbor Pioneer (Ann Arbor),0,MI,MI
3,2026-09-03,7pm,Waldron (Waldron),Litchfield,0,MI,MI
3,2026-09-03,7pm,Melvindale Academy for Business and Tech (Melvindale),Erie Mason (Erie),0,MI,MI
3,2026-09-03,7pm,St Joseph's Collegiate (Buffalo),Cathedral Prep (Erie),0,NY,PA
3,2026-09-03,6pm,Tottenville (Staten Island),Middletown (Middletown),0,NY,DE
3,2026-09-03,7pm,Holy Names (Windsor),Caledonia (Caledonia),0,ON,MI
3,2026-09-03,5pm,Sandwich (Windsor),Warren De La Salle (Warren),0,ON,MI
3,2026-09-04,7pm,Aiken (Cincinnati),Goshen (Goshen),0,,
3,2026-09-04,7pm,Anna (Anna),Parkway (Rockford),0,,
3,2026-09-04,7pm,Ansonia (Ansonia),National Trail (New Paris),0,,
3,2026-09-04,7pm,Arcanum (Arcanum),Dixie (New Lebanon),0,,
3,2026-09-04,5:30pm,Archbishop Alter (Kettering),Taft (Cincinnati),0,,
3,2026-09-04,7pm,Arlington (Arlington),Ada (Ada),0,,
3,2026-09-04,7pm,Austintown-Fitch (Austintown),Riverside (Painesville),0,,
