name,school,city,school_id,division,region,record,harbin
Mayfield (Mayfield),Mayfield,Mayfield,980,II,5,1-0,6.5
Wadsworth (Wadsworth),Wadsworth,Wadsworth,1606,II,5,1-0,6.5
Barberton (Barberton),Barberton,Barberton,160,II,5,1-0,6.0
North (Eastlake),North,Eastlake,1122,II,5,1-0,6.0
North Royalton (North Royalton),North Royalton,North Royalton,1154,II,5,1-0,6.0
Walsh Jesuit (Cuyahoga Falls),Walsh Jesuit,Cuyahoga Falls,1614,II,5,1-0,6.0
Brecksville-Broadview Heights (Broadview Heights),Brecksville-Broadview Heights,Broadview Heights,248,II,5,1-0,5.5
Nordonia (Macedonia),Nordonia,Macedonia,1116,II,5,1-0,5.5
Shaker Heights (Shaker Heights),Shaker Heights,Shaker Heights,1408,II,5,1-0,5.5
Archbishop Hoban (Akron),Archbishop Hoban,Akron,724,II,5,0-1,0.0
Boardman (Youngstown),Boardman,Youngstown,238,II,5,0-1,0.0
Brush (Lyndhurst),Brush,Lyndhurst,270,II,5,0-1,0.0
Cuyahoga Falls (Cuyahoga Falls),Cuyahoga Falls,Cuyahoga Falls,444,II,5,0-1,0.0
Ellet (Akron),Ellet,Akron,528,II,5,0-1,0.0
Firestone (Akron),Firestone,Akron,592,II,5,0-1,0.0
Garfield (Akron),Garfield,Akron,801,II,5,0-1,0.0
Highland (Medina),Highland,Medina,710,II,5,0-1,0.0
John Hay (Cleveland),John Hay,Cleveland,790,II,5,0-1,0.0
North (Akron),North,Akron,1120,II,5,0-1,0.0
Riverside (Painesville),Riverside,Painesville,1312,II,5,0-1,0.0
Twinsburg (Twinsburg),Twinsburg,Twinsburg,350,II,5,0-1,0.0
Villa Angela-St Joseph (Cleveland),Villa Angela-St Joseph,Cleveland,1364,II,5,0-1,0.0
Warren G Harding (Warren),Warren G Harding,Warren,692,II,5,0-1,0.0
Avon (Avon),Avon,Avon,150,II,6,1-0,6.5
Findlay (Findlay),Findlay,Findlay,586,II,6,1-0,6.5
Lakewood (Lakewood),Lakewood,Lakewood,832,II,6,1-0,6.5
Amherst Steele (Amherst),Amherst Steele,Amherst,1486,II,6,1-0,6.0
St Francis de Sales (Toledo),St Francis de Sales,Toledo,1350,II,6,1-0,6.0
Sylvania Southview (Sylvania),Sylvania Southview,Sylvania,1512,II,6,1-0,6.0
Central Catholic (Toledo),Central Catholic,Toledo,342,II,6,2-0,6.0
Clay (Oregon),Clay,Oregon,372,II,6,1-0,5.5
Springfield (Holland),Springfield,Holland,1476,II,6,1-0,5.5
Start (Toledo),Start,Toledo,1482,II,6,1-0,5.5
Anthony Wayne (Whitehouse),Anthony Wayne,Whitehouse,124,II,6,0-1,0.0
