week,date,time,away,home,neutral,away_state,home_state
2,2023-08-28,6pm,West Union (club) (West Union),Non-varsity opponent,0,,
5,2023-09-16,7pm,Non-varsity opponent,Southern Buckeye (club) (Russellville),0,,
7,2023-09-29,7pm,Southern Buckeye (club) (Russellville),Peebles (club) (Peebles),0,,
8,2023-10-07,,West Union (club) (West Union),Southern Buckeye (club) (Russellville),0,,
8,2023-10-07,7pm,Peebles (club) (Peebles),Non-varsity opponent,0,,
10,2023-10-21,7pm,Southern Buckeye (club) (Russellville),Non-varsity opponent,0,,
11,2023-10-28,7pm,Peebles (club) (Peebles),West Union (club) (West Union),0,,
11,2023-10-30,6pm,Brownsville,Uniontown,0,PA,PA
13,2023-11-10,4pm,St Mary's (Hamilton),St Jean de Brebeuf (Hamilton),0,ON,ON
14,2023-11-17,,Saint Frances Academy (Baltimore),IMG Academy (Bradenton),0,MD,FL
15,2023-11-23,10am,Neumann Goretti (Philadelphia),South Philadelphia (Philadelphia),0,PA,PA
