week,away,away_score,home,home_score,neutral,away_state,home_state
1,Alexander (Albany),0,Waterford (Waterford),20,0,,
1,Archbishop Alter (Kettering),21,Kettering Fairmont (Kettering),24,0,,
1,Beavercreek (Beavercreek),0,Xenia (Xenia),36,0,,
1,Bridgeport (Bridgeport),27,Frontier (New Matamoras),25,0,,
1,Calvert (Tiffin),14,Mohawk (Sycamore),12,0,,
1,Champion (Warren),7,John F Kennedy (Warren),26,0,,
1,Colonel Crawford (North Robinson),21,River (Hannibal),20,0,,
1,Columbus Grove (Columbus Grove),22,Pandora-Gilboa (Pandora),25,0,,
1,Galion (Galion),28,Wynford (Bucyrus),20,0,,
1,Grand Valley (Orwell),0,Conneaut (Conneaut),20,0,,
1,Howland (Warren),14,Niles McKinley (Niles),35,0,,
1,Indian Creek (Wintersville),35,Cambridge (Cambridge),25,0,,
1,Jefferson (Delphos),6,St John's (Delphos),45,0,,
1,Lakewood (Hebron),28,West Muskingum (Zanesville),48,0,,
1,Lima Central Catholic (Lima),42,Shawnee (Lima),14,0,,
1,Mathews (Vienna),0,Jackson-Milton (North Jackson),27,0,,
1,Meadowdale (Dayton),6,East (Columbus),36,0,,
1,Napoleon (Napoleon),13,Defiance (Defiance),38,0,,
1,Perry (Massillon),42,Canton Central Catholic (Canton),25,0,,
1,Philo (Duncan Falls),28,Athens (The Plains),13,0,,
1,Sandy Valley (Magnolia),29,Fairless (Brewster),22,0,,
1,Shroder (Cincinnati),6,Aiken (Cincinnati),12,0,,
1,Steubenville (Steubenville),28,Ursuline (Youngstown),36,0,,
1,Valley (Lucasville),29,Portsmouth (Portsmouth),59,0,,
1,Withrow (Cincinnati),42,Walnut Hills (Cincinnati),0,0,,
1,Dohn Community (Cincinnati),16,Thurgood Marshall (Dayton),28,0,,
1,Newport Central Catholic,7,Lloyd Memorial (Erlanger),24,0,KY,KY
1,Adena (Frankfort),23,McClain (Greenfield),41,0,,
1,Alliance (Alliance),12,Lake (Uniontown),7,0,,
1,Anderson (Cincinnati),44,South Oldham,15,0,,KY
1,Anthony Wayne (Whitehouse),28,Hilliard Darby (Hilliard),34,0,,
1,Archbold (Archbold),24,Genoa Area (Genoa),14,0,,
1,Arlington (Arlington),27,Hardin Northern (Dola),7,0,,
1,Austintown-Fitch (Austintown),40,Euclid (Euclid),6,0,,
1,Ayersville (Defiance),27,Delta (Delta),7,0,,
1,Badin (Hamilton),18,Hamilton (Hamilton),0,0,,
1,Barberton (Barberton),18,Wadsworth (Wadsworth),49,0,,
1,Beallsville (Beallsville),41,Millersport (Millersport),14,0,,
