name,school,city,school_id,division,region,record,harbin
St Edward (Lakewood),St Edward,Lakewood,1346,I,1,8-2,32.25
Mentor (Mentor),Mentor,Mentor,1016,I,1,10-0,30.2
Canton McKinley (Canton),Canton McKinley,Canton,306,I,1,8-2,29.4345
Whitmer (Toledo),Whitmer,Toledo,1704,I,1,8-2,26.3641
Perrysburg (Perrysburg),Perrysburg,Perrysburg,1248,I,1,8-2,24.7
Strongsville (Strongsville),Strongsville,Strongsville,1498,I,1,8-2,20.55
Jackson (Massillon),Jackson,Massillon,764,I,1,5-5,18.0
Berea-Midpark (Berea),Berea-Midpark,Berea,200,I,1,6-4,17.6
Cleveland Heights (Cleveland Heights),Cleveland Heights,Cleveland Heights,385,I,1,5-5,12.5944
Brunswick (Brunswick),Brunswick,Brunswick,268,I,1,5-5,9.35
Medina (Medina),Medina,Medina,1006,I,1,3-7,4.85
St Ignatius (Cleveland),St Ignatius,Cleveland,1354,I,1,1-9,4.8268
GlenOak (Canton),GlenOak,Canton,650,I,1,2-8,3.3727
Solon (Solon),Solon,Solon,1428,I,1,2-8,2.95
Normandy (Parma),Normandy,Parma,1118,I,1,1-9,2.0
Lorain (Lorain),Lorain,Lorain,894,I,1,2-8,1.8
Elyria (Elyria),Elyria,Elyria,532,I,1,0-10,0.0
Middletown (Middletown),Middletown,Middletown,1026,I,2,8-2,29.4
Troy (Troy),Troy,Troy,1552,I,2,8-2,24.1
Findlay (Findlay),Findlay,Findlay,586,I,2,6-4,19.9
Springboro (Springboro),Springboro,Springboro,1470,I,2,7-3,18.65
Springfield (Springfield),Springfield,Springfield,1480,I,2,6-4,17.9827
Wayne (Huber Heights),Wayne,Huber Heights,1638,I,2,6-4,17.85
Hilliard Bradley (Hilliard),Hilliard Bradley,Hilliard,713,I,2,5-5,16.35
Lebanon (Lebanon),Lebanon,Lebanon,846,I,2,7-3,15.4
Kettering Fairmont (Kettering),Kettering Fairmont,Kettering,807,I,2,5-5,12.6949
Dublin Jerome (Dublin),Dublin Jerome,Dublin,486,I,2,5-5,12.45
Westland (Galloway),Westland,Galloway,1686,I,2,5-5,11.0798
Marysville (Marysville),Marysville,Marysville,970,I,2,5-5,10.75
Hilliard Davidson (Hilliard),Hilliard Davidson,Hilliard,716,I,2,4-6,9.25
Hilliard Darby (Hilliard),Hilliard Darby,Hilliard,717,I,2,3-7,8.35
Beavercreek (Beavercreek),Beavercreek,Beavercreek,178,I,2,4-6,7.5
Centerville (Centerville),Centerville,Centerville,336,I,2,3-7,5.6245
Dublin Coffman (Dublin),Dublin Coffman,Dublin,474,I,2,2-8,4.9
Northmont (Clayton),Northmont,Clayton,1142,I,2,0-10,0.0
Olentangy Orange (Lewis Center),Olentangy Orange,Lewis Center,1211,I,3,10-0,40.4
Pickerington Central (Pickerington),Pickerington Central,Pickerington,1254,I,3,9-1,32.1
Pickerington North (Pickerington),Pickerington North,Pickerington,1255,I,3,9-1,26.75
Olentangy (Lewis Center),Olentangy,Lewis Center,1202,I,3,8-2,25.25
Olentangy Liberty (Powell),Olentangy Liberty,Powell,1203,I,3,6-4,22.4
Upper Arlington (Upper Arlington),Upper Arlington,Upper Arlington,1572,I,3,8-2,22.0
Gahanna Lincoln (Gahanna),Gahanna Lincoln,Gahanna,876,I,3,7-3,21.05
Olentangy Berlin (Delaware),Olentangy Berlin,Delaware,1201,I,3,5-5,17.3
Grove City (Grove City),Grove City,Grove City,680,I,3,5-5,13.8
Groveport Madison (Groveport),Groveport Madison,Groveport,682,I,3,5-5,12.35
Westerville Central (Westerville),Westerville Central,Westerville,1671,I,3,4-6,11.5
Newark (Newark),Newark,Newark,1088,I,3,6-4,10.25
Westerville North (Westerville),Westerville North,Westerville,1672,I,3,3-7,8.8388
Delaware Hayes (Delaware),Delaware Hayes,Delaware,704,I,3,2-8,7.3626
Lancaster (Lancaster),Lancaster,Lancaster,838,I,3,3-7,4.4
Thomas Worthington (Worthington),Thomas Worthington,Worthington,1738,I,3,1-9,3.8
Reynoldsburg (Reynoldsburg),Reynoldsburg,Reynoldsburg,1290,I,3,1-9,0.6
Central Crossing (Grove City),Central Crossing,Grove City,345,I,3,0-10,0.0
Elder (Cincinnati),Elder,Cincinnati,522,I,4,10-0,44.025
Archbishop Moeller (Cincinnati),Archbishop Moeller,Cincinnati,1056,I,4,7-3,29.5625
St Xavier (Cincinnati),St Xavier,Cincinnati,1388,I,4,7-2,29.0456
Princeton (Cincinnati),Princeton,Cincinnati,1274,I,4,8-2,25.95
Winton Woods (Cincinnati),Winton Woods,Cincinnati,1719,I,4,8-2,24.35
Lakota East (Liberty Township),Lakota East,Liberty Township,836,I,4,7-3,19.4
Lakota West (West Chester),Lakota West,West Chester,837,I,4,6-4,18.2939
Fairfield (Fairfield),Fairfield,Fairfield,550,I,4,5-5,13.6
Mason (Mason),Mason,Mason,972,I,4,5-5,13.6
Hamilton (Hamilton),Hamilton,Hamilton,685,I,4,4-6,11.7
Oak Hills (Cincinnati),Oak Hills,Cincinnati,1188,I,4,4-6,8.0
Little Miami (Morrow),Little Miami,Morrow,884,I,4,3-7,5.15
Western Hills (Cincinnati),Western Hills,Cincinnati,1666,I,4,3-7,4.3
Walnut Hills (Cincinnati),Walnut Hills,Cincinnati,1610,I,4,2-8,4.15
Milford (Milford),Milford,Milford,1034,I,4,1-9,1.95
West Clermont (Cincinnati),West Clermont,Cincinnati,1677,I,4,2-8,1.9
Colerain (Cincinnati),Colerain,Cincinnati,396,I,4,1-9,0.65
Sycamore (Cincinnati),Sycamore,Cincinnati,1508,I,4,0-10,0.0
Archbishop Hoban (Akron),Archbishop Hoban,Akron,724,II,5,8-1,42.8824
Walsh Jesuit (Cuyahoga Falls),Walsh Jesuit,Cuyahoga Falls,1614,II,5,8-1,29.0317
Austintown-Fitch (Austintown),Austintown-Fitch,Austintown,148,II,5,8-1,27.3552
Lake (Uniontown),Lake,Uniontown,822,II,5,7-3,26.4
Hudson (Hudson),Hudson,Hudson,740,II,5,8-2,26.2786
Garfield Heights (Garfield Heights),Garfield Heights,Garfield Heights,632,II,5,9-1,21.8088
Nordonia (Macedonia),Nordonia,Macedonia,1116,II,5,7-3,21.3212
Riverside (Painesville),Riverside,Painesville,1312,II,5,7-3,21.2939
Boardman (Youngstown),Boardman,Youngstown,238,II,5,5-5,17.1158
Twinsburg (Twinsburg),Twinsburg,Twinsburg,350,II,5,6-4,16.65
Green (Uniontown),Green,Uniontown,670,II,5,5-5,16.0303
South (Willoughby),South,Willoughby,1440,II,5,5-5,13.55
University School (Hunting Valley),University School,Hunting Valley,1571,II,5,6-4,12.947
Mayfield (Mayfield),Mayfield,Mayfield,980,II,5,5-5,11.65
North (Eastlake),North,Eastlake,1122,II,5,4-6,10.45
John Hay (Cleveland),John Hay,Cleveland,790,II,5,5-5,10.0468
Euclid (Euclid),Euclid,Euclid,540,II,5,4-6,9.85
John Adams (Cleveland),John Adams,Cleveland,782,II,5,7-3,9.2447
Warren G Harding (Warren),Warren G Harding,Warren,692,II,5,3-6,6.887
Garfield (Akron),Garfield,Akron,801,II,5,4-6,6.6949
Shaker Heights (Shaker Heights),Shaker Heights,Shaker Heights,1408,II,5,1-9,3.9
Stow-Munroe Falls (Stow),Stow-Munroe Falls,Stow,1492,II,5,2-8,2.35
John F Kennedy (Cleveland),John F Kennedy,Cleveland,784,II,5,1-9,1.0655
Cuyahoga Falls (Cuyahoga Falls),Cuyahoga Falls,Cuyahoga Falls,444,II,5,1-9,1.0
Firestone (Akron),Firestone,Akron,592,II,5,1-9,1.0
North (Akron),North,Akron,1120,II,5,1-9,0.4
St Vincent-St Mary (Akron),St Vincent-St Mary,Akron,1384,II,5,0-9,0.0
