name,school,city,school_id,division,region,record,harbin
Highland (Medina),Highland,Medina,710,II,6,10-0,32.15
Wadsworth (Wadsworth),Wadsworth,Wadsworth,1606,II,6,10-0,32.15
Avon (Avon),Avon,Avon,150,II,6,9-1,30.8592
North Ridgeville (North Ridgeville),North Ridgeville,North Ridgeville,1152,II,6,9-1,27.95
Anthony Wayne (Whitehouse),Anthony Wayne,Whitehouse,124,II,6,6-4,21.1
Olmsted Falls (Olmsted Falls),Olmsted Falls,Olmsted Falls,1204,II,6,6-4,20.4
St Francis de Sales (Toledo),St Francis de Sales,Toledo,1350,II,6,6-4,19.6021
Brecksville-Broadview Heights (Broadview Heights),Brecksville-Broadview Heights,Broadview Heights,248,II,6,6-4,17.1
Clay (Oregon),Clay,Oregon,372,II,6,6-4,16.65
Valley Forge (Parma Heights),Valley Forge,Parma Heights,1588,II,6,5-5,13.55
Fremont Ross (Fremont),Fremont Ross,Fremont,616,II,6,6-4,13.0
Start (Toledo),Start,Toledo,1482,II,6,6-4,12.85
St John's Jesuit (Toledo),St John's Jesuit,Toledo,1360,II,6,5-5,12.0935
Rhodes (Cleveland),Rhodes,Cleveland,1292,II,6,7-3,11.9915
North Olmsted (North Olmsted),North Olmsted,North Olmsted,1146,II,6,4-6,10.0
Amherst Steele (Amherst),Amherst Steele,Amherst,1486,II,6,4-6,9.3
North Royalton (North Royalton),North Royalton,North Royalton,1154,II,6,4-6,9.05
Lakewood (Lakewood),Lakewood,Lakewood,832,II,6,4-6,8.9
Avon Lake (Avon Lake),Avon Lake,Avon Lake,152,II,6,3-7,7.25
Springfield (Holland),Springfield,Holland,1476,II,6,4-6,7.05
Waite (Toledo),Waite,Toledo,1608,II,6,4-6,6.8
Sylvania Southview (Sylvania),Sylvania Southview,Sylvania,1512,II,6,3-7,5.75
Westlake (Westlake),Westlake,Westlake,1684,II,6,3-7,4.9
Sylvania Northview (Sylvania),Sylvania Northview,Sylvania,1510,II,6,1-9,4.0
Bowsher (Toledo),Bowsher,Toledo,244,II,6,2-8,2.85
Sandusky (Sandusky),Sandusky,Sandusky,1394,II,6,1-9,1.9
Barberton (Barberton),Barberton,Barberton,160,II,6,1-9,1.2
Big Walnut (Sunbury),Big Walnut,Sunbury,214,II,7,9-1,29.5909
St Francis DeSales (Columbus),St Francis DeSales,Columbus,1348,II,7,8-2,29.0284
Massillon Washington (Massillon),Massillon Washington,Massillon,1624,II,7,7-3,28.2556
Canal Winchester (Canal Winchester),Canal Winchester,Canal Winchester,302,II,7,9-1,25.45
Westerville South (Westerville),Westerville South,Westerville,1674,II,7,8-2,25.1561
Hoover (North Canton),Hoover,North Canton,730,II,7,8-2,22.65
Ashland (Ashland),Ashland,Ashland,138,II,7,9-1,21.95
Walnut Ridge (Columbus),Walnut Ridge,Columbus,1612,II,7,7-3,19.9116
Worthington Kilbourne (Columbus),Worthington Kilbourne,Columbus,1741,II,7,7-3,16.5
Mount Vernon (Mount Vernon),Mount Vernon,Mount Vernon,1078,II,7,6-4,16.35
Northland (Columbus),Northland,Columbus,1140,II,7,7-3,15.3
Louisville (Louisville),Louisville,Louisville,902,II,7,6-4,14.5
Franklin Heights (Columbus),Franklin Heights,Columbus,610,II,7,6-4,12.7
New Albany (New Albany),New Albany,New Albany,1086,II,7,4-6,11.6
Whitehall-Yearling (Whitehall),Whitehall-Yearling,Whitehall,1700,II,7,4-6,11.2
Teays Valley (Ashville),Teays Valley,Ashville,1526,II,7,5-5,11.2
Watkins Memorial (Pataskala),Watkins Memorial,Pataskala,1632,II,7,4-6,10.6
Perry (Massillon),Perry,Massillon,1244,II,7,5-5,9.3933
Dublin Scioto (Dublin),Dublin Scioto,Dublin,475,II,7,5-5,9.2
St Charles (Columbus),St Charles,Columbus,1342,II,7,3-7,8.0631
Marion Harding (Marion),Marion Harding,Marion,690,II,7,3-7,7.25
Whetstone (Columbus),Whetstone,Columbus,1698,II,7,3-7,4.95
Briggs (Columbus),Briggs,Columbus,252,II,7,2-8,2.9
Licking Heights (Pataskala),Licking Heights,Pataskala,868,II,7,2-8,1.05
Logan (Logan),Logan,Logan,888,II,7,0-10,0.0
Mifflin (Columbus),Mifflin,Columbus,1032,II,7,0-10,0.0
Wooster (Wooster),Wooster,Wooster,1736,II,7,0-10,0.0
Anderson (Cincinnati),Anderson,Cincinnati,118,II,8,10-0,36.4515
Kings (Kings Mills),Kings,Kings Mills,810,II,8,9-1,26.25
Trotwood-Madison (Trotwood),Trotwood-Madison,Trotwood,1550,II,8,6-3,21.9866
Xenia (Xenia),Xenia,Xenia,1746,II,8,8-2,21.8
La Salle (Cincinnati),La Salle,Cincinnati,842,II,8,7-3,20.4611
Lima Senior (Lima),Lima Senior,Lima,872,II,8,8-2,19.95
Harrison (Harrison),Harrison,Harrison,696,II,8,7-3,19.7051
Withrow (Cincinnati),Withrow,Cincinnati,1720,II,8,8-2,14.65
Piqua (Piqua),Piqua,Piqua,1258,II,8,6-4,14.55
Butler (Vandalia),Butler,Vandalia,292,II,8,6-4,13.3
Aiken (Cincinnati),Aiken,Cincinnati,106,II,8,6-4,11.0551
Turpin (Cincinnati),Turpin,Cincinnati,1554,II,8,5-5,10.95
Edgewood (Trenton),Edgewood,Trenton,516,II,8,4-6,8.9
Stebbins (Riverside),Stebbins,Riverside,1484,II,8,5-5,8.05
Loveland (Loveland),Loveland,Loveland,904,II,8,4-6,7.75
Belmont (Dayton),Belmont,Dayton,192,II,8,5-5,6.35
Fairborn (Fairborn),Fairborn,Fairborn,548,II,8,4-6,5.65
Northwest (Cincinnati),Northwest,Cincinnati,1164,II,8,4-6,4.4722
Monroe (Monroe),Monroe,Monroe,1062,II,8,2-8,2.6
Miamisburg (Miamisburg),Miamisburg,Miamisburg,1020,II,8,2-8,1.75
Sidney (Sidney),Sidney,Sidney,1422,II,8,1-9,0.6
Mount Healthy (Cincinnati),Mount Healthy,Cincinnati,1074,II,8,0-10,0.0
West Carrollton (West Carrollton),West Carrollton,West Carrollton,1660,II,8,0-10,0.0
Canfield (Canfield),Canfield,Canfield,304,III,9,9-1,34.0768
Cuyahoga Valley Christian Academy (Cuyahoga Falls),Cuyahoga Valley Christian Academy,Cuyahoga Falls,448,III,9,9-0,32.1667
Hawken (Gates Mills),Hawken,Gates Mills,702,III,9,8-2,22.3
Villa Angela-St Joseph (Cleveland),Villa Angela-St Joseph,Cleveland,1364,III,9,8-1,21.7008
Chardon (Chardon),Chardon,Chardon,360,III,9,6-4,21.6813
East (Akron),East,Akron,478,III,9,8-2,20.2071
Alliance (Alliance),Alliance,Alliance,112,III,9,8-2,20.2
Kenston (Chagrin Falls),Kenston,Chagrin Falls,802,III,9,6-4,19.7
Madison (Madison),Madison,Madison,922,III,9,7-3,19.5
Geneva (Geneva),Geneva,Geneva,634,III,9,8-2,19.05
Benedictine (Cleveland),Benedictine,Cleveland,196,III,9,8-2,15.9948
Maple Heights (Maple Heights),Maple Heights,Maple Heights,944,III,9,7-3,15.0
Aurora (Aurora),Aurora,Aurora,146,III,9,6-4,13.7
Youngstown East (Youngstown),Youngstown East,Youngstown,483,III,9,6-4,13.3035
Gilmour Academy (Gates Mills),Gilmour Academy,Gates Mills,642,III,9,4-6,13.1076
Brush (Lyndhurst),Brush,Lyndhurst,270,III,9,6-4,12.946
Chaney (Youngstown),Chaney,Youngstown,358,III,9,4-5,10.4226
Kent Roosevelt (Kent),Kent Roosevelt,Kent,1326,III,9,5-5,9.55
Lutheran East (Cleveland Heights),Lutheran East,Cleveland Heights,912,III,9,4-6,8.8667
Harvey (Painesville),Harvey,Painesville,698,III,9,5-5,7.95
Bedford (Bedford),Bedford,Bedford,180,III,9,4-6,7.65
Ellet (Akron),Ellet,Akron,528,III,9,4-6,7.0
Tallmadge (Tallmadge),Tallmadge,Tallmadge,1522,III,9,3-7,5.25
Howland (Warren),Howland,Warren,736,III,9,2-8,4.0
Lakeside (Ashtabula),Lakeside,Ashtabula,140,III,9,1-9,1.3
Collinwood (Cleveland),Collinwood,Cleveland,398,III,9,1-8,0.5556
Buckeye (Medina),Buckeye,Medina,276,III,10,10-0,32.15
Wapakoneta (Wapakoneta),Wapakoneta,Wapakoneta,1616,III,10,10-0,29.45
Lexington (Lexington),Lexington,Lexington,856,III,10,9-1,24.15
Revere (Richfield),Revere,Richfield,1288,III,10,8-2,22.5
Rocky River (Rocky River),Rocky River,Rocky River,1320,III,10,8-2,20.7
Central Catholic (Toledo),Central Catholic,Toledo,342,III,10,6-4,20.1434
Shawnee (Lima),Shawnee,Lima,1412,III,10,7-3,16.9
St Marys Memorial (St Marys),St Marys Memorial,St Marys,1012,III,10,7-3,16.45
Copley (Copley),Copley,Copley,422,III,10,7-3,16.0
Holy Name (Parma Heights),Holy Name,Parma Heights,728,III,10,6-4,14.5621
Ontario (Ontario),Ontario,Ontario,1206,III,10,6-4,11.9
Midview (Grafton),Midview,Grafton,1030,III,10,5-5,11.2
Maumee (Maumee),Maumee,Maumee,976,III,10,5-5,9.65
Defiance (Defiance),Defiance,Defiance,464,III,10,4-6,9.3
Tiffin Columbian (Tiffin),Tiffin Columbian,Tiffin,406,III,10,5-5,8.8626
Norwalk (Norwalk),Norwalk,Norwalk,1160,III,10,3-7,8.1
Celina (Celina),Celina,Celina,330,III,10,4-6,7.1
Cleveland Central Catholic (Cleveland),Cleveland Central Catholic,Cleveland,384,III,10,3-7,6.7
Scott (Toledo),Scott,Toledo,1398,III,10,2-8,5.15
Elyria Catholic (Elyria),Elyria Catholic,Elyria,534,III,10,3-7,4.6602
Rogers (Toledo),Rogers,Toledo,1324,III,10,3-7,4.55
Woodward (Toledo),Woodward,Toledo,1734,III,10,1-9,4.1
Madison Comprehensive (Mansfield),Madison Comprehensive,Mansfield,926,III,10,3-7,3.6
Bowling Green (Bowling Green),Bowling Green,Bowling Green,242,III,10,2-8,3.45
East Technical (Cleveland),East Technical,Cleveland,506,III,10,3-6,3.0833
Padua Franciscan (Parma),Padua Franciscan,Parma,1224,III,10,1-9,1.2566
Mansfield Senior (Mansfield),Mansfield Senior,Mansfield,940,III,10,1-9,0.6
Lutheran West (Rocky River),Lutheran West,Rocky River,914,III,10,0-10,0.0
Bishop Watterson (Columbus),Bishop Watterson,Columbus,224,III,11,9-0,36.7661
Licking Valley (Newark),Licking Valley,Newark,870,III,11,10-0,27.9
Steubenville (Steubenville),Steubenville,Steubenville,1488,III,11,7-2,27.7282
Tri-Valley (Dresden),Tri-Valley,Dresden,1544,III,11,8-2,24.55
Hamilton Township (Columbus),Hamilton Township,Columbus,686,III,11,8-2,22.05
Buckeye Valley (Delaware),Buckeye Valley,Delaware,286,III,11,8-2,21.3
Bloom-Carroll (Carroll),Bloom-Carroll,Carroll,232,III,11,7-3,21.1
Granville (Granville),Granville,Granville,666,III,11,7-3,19.9
Sheridan (Thornville),Sheridan,Thornville,1420,III,11,7-3,19.35
Linden McKinley (Columbus),Linden McKinley,Columbus,882,III,11,8-2,17.85
Athens (The Plains),Athens,The Plains,144,III,11,9-1,13.9
Independence (Columbus),Independence,Columbus,748,III,11,6-4,13.7
Bishop Hartley (Columbus),Bishop Hartley,Columbus,218,III,11,5-5,13.2944
Eastmoor Academy (Columbus),Eastmoor Academy,Columbus,502,III,11,4-6,9.7
Carrollton (Carrollton),Carrollton,Carrollton,322,III,11,4-6,9.3
New Philadelphia (New Philadelphia),New Philadelphia,New Philadelphia,1106,III,11,5-5,8.7235
Dover (Dover),Dover,Dover,472,III,11,4-6,7.8139
Bexley (Columbus),Bexley,Columbus,212,III,11,3-7,5.4
South (Columbus),South,Columbus,1436,III,11,3-7,5.1
John Glenn (New Concord),John Glenn,New Concord,788,III,11,4-6,5.0
Centennial (Columbus),Centennial,Columbus,332,III,11,3-7,4.6293
West (Columbus),West,Columbus,1656,III,11,2-8,4.1
Beechcroft (Columbus),Beechcroft,Columbus,186,III,11,3-7,4.0242
Marietta (Marietta),Marietta,Marietta,956,III,11,3-7,3.9231
Warren (Vincent),Warren,Vincent,1618,III,11,2-8,1.1
Zanesville (Zanesville),Zanesville,Zanesville,1750,III,11,0-10,0.0
London (London),London,London,892,III,12,10-0,34.05
Tippecanoe (Tipp City),Tippecanoe,Tipp City,1534,III,12,10-0,33.4
Badin (Hamilton),Badin,Hamilton,158,III,12,9-1,28.4328
Jackson (Jackson),Jackson,Jackson,762,III,12,8-2,23.25
Miami Trace (Washington Court House),Miami Trace,Washington Court House,1022,III,12,9-1,21.25
Archbishop Alter (Kettering),Archbishop Alter,Kettering,132,III,12,7-3,20.9722
Talawanda (Oxford),Talawanda,Oxford,1520,III,12,9-1,19.2
Archbishop McNicholas (Cincinnati),Archbishop McNicholas,Cincinnati,998,III,12,6-4,17.0
Chillicothe (Chillicothe),Chillicothe,Chillicothe,364,III,12,6-4,15.55
Goshen (Goshen),Goshen,Goshen,658,III,12,7-3,15.2
Bellbrook (Bellbrook),Bellbrook,Bellbrook,184,III,12,6-4,14.45
Hillsboro (Hillsboro),Hillsboro,Hillsboro,718,III,12,5-5,11.2
Bellefontaine (Bellefontaine),Bellefontaine,Bellefontaine,188,III,12,5-5,10.8
Franklin (Franklin),Franklin,Franklin,608,III,12,4-6,10.6
Wilmington (Wilmington),Wilmington,Wilmington,1714,III,12,5-5,9.8
Batavia (Batavia),Batavia,Batavia,164,III,12,4-6,8.0
Ross (Hamilton),Ross,Hamilton,1330,III,12,3-7,5.55
Dunbar (Dayton),Dunbar,Dayton,476,III,12,3-7,5.1854
Western Brown (Mount Orab),Western Brown,Mount Orab,1664,III,12,2-8,5.1409
Hughes (Cincinnati),Hughes,Cincinnati,742,III,12,4-6,4.7763
Greenville (Greenville),Greenville,Greenville,678,III,12,3-7,3.35
Tecumseh (New Carlisle),Tecumseh,New Carlisle,1528,III,12,2-8,1.6
Chaminade Julienne (Dayton),Chaminade Julienne,Dayton,352,III,12,1-9,1.1
Archbishop Carroll (Dayton),Archbishop Carroll,Dayton,320,III,12,1-9,1.05
Ponitz Tech (Dayton),Ponitz Tech,Dayton,1235,III,12,1-9,1.05
Woodward (Cincinnati),Woodward,Cincinnati,1732,III,12,0-10,0.0
Perry (Perry),Perry,Perry,1246,IV,13,8-2,27.2
Glenville (Cleveland),Glenville,Cleveland,652,IV,13,7-3,26.0867
Lake Catholic (Mentor),Lake Catholic,Mentor,824,IV,13,8-2,25.1153
West Branch (Beloit),West Branch,Beloit,1658,IV,13,9-1,24.447
Norton (Norton),Norton,Norton,1158,IV,13,9-1,21.95
Streetsboro (Streetsboro),Streetsboro,Streetsboro,1496,IV,13,8-2,21.2
Northwest (Canal Fulton),Northwest,Canal Fulton,1162,IV,13,6-4,19.9
Notre Dame-Cathedral Latin (Chardon),Notre Dame-Cathedral Latin,Chardon,1180,IV,13,7-3,18.952
Hubbard (Hubbard),Hubbard,Hubbard,738,IV,13,7-3,14.95
Salem (Salem),Salem,Salem,1392,IV,13,6-4,13.65
West Geauga (Chesterland),West Geauga,Chesterland,1678,IV,13,6-4,13.5
Edgewood (Ashtabula),Edgewood,Ashtabula,514,IV,13,6-4,13.151
Woodridge (Peninsula),Woodridge,Peninsula,1724,IV,13,6-4,11.1313
Buchtel (Akron),Buchtel,Akron,274,IV,13,4-6,7.9622
Marlington (Alliance),Marlington,Alliance,964,IV,13,3-7,5.4
Conneaut (Conneaut),Conneaut,Conneaut,416,IV,13,4-6,4.5763
Field (Mogadore),Field,Mogadore,584,IV,13,3-7,4.25
Orange (Pepper Pike),Orange,Pepper Pike,1208,IV,13,3-7,2.9
Ravenna (Ravenna),Ravenna,Ravenna,1281,IV,13,3-7,2.75
Struthers (Struthers),Struthers,Struthers,1500,IV,13,2-8,2.3641
Jefferson Area (Jefferson),Jefferson Area,Jefferson,774,IV,13,2-8,2.05
Coventry (Akron),Coventry,Akron,428,IV,13,2-8,1.25
Warrensville Heights (Warrensville Heights),Warrensville Heights,Warrensville Heights,1620,IV,13,1-9,1.15
Springfield (Akron),Springfield,Akron,1472,IV,13,1-9,0.35
Niles McKinley (Niles),Niles McKinley,Niles,994,IV,13,0-10,0.0
Shelby (Shelby),Shelby,Shelby,1416,IV,14,10-0,31.6
Galion (Galion),Galion,Galion,620,IV,14,9-1,24.05
Napoleon (Napoleon),Napoleon,Napoleon,1080,IV,14,8-2,22.2
Bath (Lima),Bath,Lima,166,IV,14,8-2,20.7
Bellevue (Bellevue),Bellevue,Bellevue,190,IV,14,7-3,17.2
Perkins (Sandusky),Perkins,Sandusky,1240,IV,14,7-3,16.7112
Bay (Bay Village),Bay,Bay Village,168,IV,14,6-4,15.65
Clear Fork (Bellville),Clear Fork,Bellville,378,IV,14,6-4,13.8
Orrville (Orrville),Orrville,Orrville,1210,IV,14,6-4,12.25
Cloverleaf (Seville),Cloverleaf,Seville,390,IV,14,6-4,11.9
Clearview (Lorain),Clearview,Lorain,380,IV,14,5-5,11.55
Clyde (Clyde),Clyde,Clyde,392,IV,14,4-6,10.55
Vermilion (Vermilion),Vermilion,Vermilion,1598,IV,14,5-5,10.4
Benjamin Logan (Bellefontaine),Benjamin Logan,Bellefontaine,198,IV,14,5-5,8.8
Van Wert (Van Wert),Van Wert,Van Wert,1596,IV,14,5-5,8.15
Firelands (Oberlin),Firelands,Oberlin,590,IV,14,4-6,6.8
Elida (Elida),Elida,Elida,526,IV,14,4-6,6.35
River Valley (Caledonia),River Valley,Caledonia,1314,IV,14,3-7,6.0
Upper Sandusky (Upper Sandusky),Upper Sandusky,Upper Sandusky,1574,IV,14,4-6,5.9
Rossford (Rossford),Rossford,Rossford,1332,IV,14,3-7,5.55
Brookside (Sheffield),Brookside,Sheffield,262,IV,14,2-8,2.85
Bryan (Bryan),Bryan,Bryan,272,IV,14,2-8,2.15
Wauseon (Wauseon),Wauseon,Wauseon,1634,IV,14,2-8,1.95
Kenton (Kenton),Kenton,Kenton,804,IV,14,1-9,0.5
Ottawa-Glandorf (Ottawa),Ottawa-Glandorf,Ottawa,1214,IV,14,0-10,0.0
New Lexington (New Lexington),New Lexington,New Lexington,1100,IV,15,9-1,27.05
Indian Valley (Gnadenhutten),Indian Valley,Gnadenhutten,758,IV,15,9-0,26.8152
Jonathan Alder (Plain City),Jonathan Alder,Plain City,796,IV,15,9-1,24.75
Unioto (Chillicothe),Unioto,Chillicothe,1568,IV,15,10-0,22.4803
East (Columbus),East,Columbus,482,IV,15,9-1,22.3222
Indian Creek (Wintersville),Indian Creek,Wintersville,751,IV,15,9-1,20.1747
Circleville (Circleville),Circleville,Circleville,370,IV,15,7-3,16.8
Fairfield Union (Lancaster),Fairfield Union,Lancaster,554,IV,15,6-4,15.9612
Heath (Heath),Heath,Heath,706,IV,15,6-4,14.75
Philo (Duncan Falls),Philo,Duncan Falls,1252,IV,15,6-4,13.9
Johnstown (Johnstown),Johnstown,Johnstown,794,IV,15,7-3,13.55
Canton South (Canton),Canton South,Canton,1432,IV,15,5-5,13.1071
Marion-Franklin (Columbus),Marion-Franklin,Columbus,962,IV,15,5-5,12.35
Beaver Local (East Liverpool),Beaver Local,East Liverpool,176,IV,15,6-4,11.6869
Bishop Ready (Columbus),Bishop Ready,Columbus,220,IV,15,5-5,11.0
West Holmes (Millersburg),West Holmes,Millersburg,1680,IV,15,5-5,10.2
Maysville (Zanesville),Maysville,Zanesville,982,IV,15,5-5,9.5
Westfall (Williamsport),Westfall,Williamsport,1676,IV,15,6-4,8.9136
Highland (Marengo),Highland,Marengo,712,IV,15,3-7,7.15
Gallia Academy (Gallipolis),Gallia Academy,Gallipolis,622,IV,15,4-6,6.6454
Minerva (Minerva),Minerva,Minerva,1046,IV,15,5-5,5.35
Vinton County (McArthur),Vinton County,McArthur,1604,IV,15,3-7,4.25
Logan Elm (Circleville),Logan Elm,Circleville,890,IV,15,2-8,3.85
East Liverpool (East Liverpool),East Liverpool,East Liverpool,500,IV,15,3-7,3.6333
Waverly (Waverly),Waverly,Waverly,1636,IV,15,1-9,1.3
Cambridge (Cambridge),Cambridge,Cambridge,300,IV,15,0-10,0.0
KIPP Columbus (Columbus),KIPP Columbus,Columbus,9592,IV,15,0-10,0.0
